11:56:53 [ultranest] [DEBUG] ReactiveNestedSampler: dims=8+0, resume=True, log_dir=/home/ljy/BettiCurveCosmo/Emulator/model-fof/mcmc_result/nwLH-Recovery/160/combined, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
11:56:55 [ultranest] [DEBUG] Testing resume consistency: [-6.93759085 -6.20884372  0.          0.69754653  0.77421881  0.64575385
  0.78399062  0.33110194  0.92978724  0.61778169  0.14471417  0.37901861
  0.06096875  0.75830154  1.11359625  0.73244078  0.92978724 -0.92933098
 14.47141701]: u=[0.69754653 0.77421881 0.64575385 0.78399062 0.33110194 0.92978724
 0.61778169 0.14471417] -> p=[ 0.37901861  0.06096875  0.75830154  1.11359625  0.73244078  0.92978724
 -0.92933098 14.47141701] -> L=-6.208843721295562 
11:56:55 [ultranest] [INFO] Resuming from 22006 stored points
11:56:55 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.10, Lepsilon=0.0010, min_ess=400
11:56:55 [ultranest] [DEBUG] max_iters=-1, max_ncalls=-1, max_num_improvement_loops=-1, min_num_live_points=1600, cluster_num_live_points=40
11:56:55 [ultranest] [DEBUG] minimal_widths_sequence: [(-inf, 1600.0), (inf, 1600.0)]
11:56:56 [ultranest] [DEBUG] iteration=0, ncalls=163671, regioncalls=0, ndraw=40, logz=-inf, remainder_fraction=100.0000%, Lmin=-69394.39, Lmax=-20.41
11:56:56 [ultranest] [DEBUG] iteration=46, ncalls=163671, regioncalls=0, ndraw=40, logz=-28486.19, remainder_fraction=100.0000%, Lmin=-28136.54, Lmax=-20.41
11:56:56 [ultranest] [DEBUG] iteration=95, ncalls=163671, regioncalls=0, ndraw=40, logz=-19527.73, remainder_fraction=100.0000%, Lmin=-19251.28, Lmax=-20.41
11:56:56 [ultranest] [DEBUG] iteration=144, ncalls=163671, regioncalls=0, ndraw=40, logz=-13151.26, remainder_fraction=100.0000%, Lmin=-13099.59, Lmax=-20.41
11:56:56 [ultranest] [DEBUG] iteration=160, ncalls=163671, regioncalls=0, ndraw=40, logz=-12373.73, remainder_fraction=100.0000%, Lmin=-12347.40, Lmax=-20.41
11:56:56 [ultranest] [DEBUG] iteration=208, ncalls=163671, regioncalls=0, ndraw=40, logz=-9233.09, remainder_fraction=100.0000%, Lmin=-9184.64, Lmax=-20.41
11:56:56 [ultranest] [DEBUG] iteration=254, ncalls=163671, regioncalls=0, ndraw=40, logz=-6440.96, remainder_fraction=100.0000%, Lmin=-6339.74, Lmax=-20.41
11:56:56 [ultranest] [DEBUG] iteration=307, ncalls=163671, regioncalls=0, ndraw=40, logz=-4624.08, remainder_fraction=100.0000%, Lmin=-4613.67, Lmax=-20.41
11:56:56 [ultranest] [DEBUG] iteration=320, ncalls=163671, regioncalls=0, ndraw=40, logz=-4344.91, remainder_fraction=100.0000%, Lmin=-4317.90, Lmax=-20.41
11:56:56 [ultranest] [DEBUG] iteration=358, ncalls=163671, regioncalls=0, ndraw=40, logz=-3561.92, remainder_fraction=100.0000%, Lmin=-3552.73, Lmax=-20.41
11:56:57 [ultranest] [DEBUG] iteration=405, ncalls=163671, regioncalls=0, ndraw=40, logz=-2955.67, remainder_fraction=100.0000%, Lmin=-2935.04, Lmax=-20.41
11:56:57 [ultranest] [DEBUG] iteration=434, ncalls=163671, regioncalls=0, ndraw=40, logz=-2503.67, remainder_fraction=100.0000%, Lmin=-2493.67, Lmax=-20.41
11:56:57 [ultranest] [DEBUG] iteration=465, ncalls=163671, regioncalls=0, ndraw=40, logz=-2206.75, remainder_fraction=100.0000%, Lmin=-2192.78, Lmax=-20.41
11:56:57 [ultranest] [DEBUG] iteration=480, ncalls=163671, regioncalls=0, ndraw=40, logz=-2062.02, remainder_fraction=100.0000%, Lmin=-2050.14, Lmax=-20.41
11:56:57 [ultranest] [DEBUG] iteration=529, ncalls=163671, regioncalls=0, ndraw=40, logz=-1800.20, remainder_fraction=100.0000%, Lmin=-1791.18, Lmax=-20.41
11:56:57 [ultranest] [DEBUG] iteration=579, ncalls=163671, regioncalls=0, ndraw=40, logz=-1686.98, remainder_fraction=100.0000%, Lmin=-1679.43, Lmax=-20.41
11:56:57 [ultranest] [DEBUG] iteration=629, ncalls=163671, regioncalls=0, ndraw=40, logz=-1615.16, remainder_fraction=100.0000%, Lmin=-1605.51, Lmax=-20.41
11:56:57 [ultranest] [DEBUG] iteration=640, ncalls=163671, regioncalls=0, ndraw=40, logz=-1604.32, remainder_fraction=100.0000%, Lmin=-1596.62, Lmax=-20.41
11:56:57 [ultranest] [DEBUG] iteration=688, ncalls=163671, regioncalls=0, ndraw=40, logz=-1566.13, remainder_fraction=100.0000%, Lmin=-1558.36, Lmax=-20.41
11:56:58 [ultranest] [DEBUG] iteration=716, ncalls=163671, regioncalls=0, ndraw=40, logz=-1548.13, remainder_fraction=100.0000%, Lmin=-1540.68, Lmax=-20.41
11:56:58 [ultranest] [DEBUG] iteration=750, ncalls=163671, regioncalls=0, ndraw=40, logz=-1529.40, remainder_fraction=100.0000%, Lmin=-1522.23, Lmax=-20.41
11:56:58 [ultranest] [DEBUG] iteration=796, ncalls=163671, regioncalls=0, ndraw=40, logz=-1512.06, remainder_fraction=100.0000%, Lmin=-1505.49, Lmax=-20.41
11:56:58 [ultranest] [DEBUG] iteration=800, ncalls=163671, regioncalls=0, ndraw=40, logz=-1510.83, remainder_fraction=100.0000%, Lmin=-1503.87, Lmax=-20.41
11:56:58 [ultranest] [DEBUG] iteration=852, ncalls=163671, regioncalls=0, ndraw=40, logz=-1491.13, remainder_fraction=100.0000%, Lmin=-1484.06, Lmax=-20.41
11:56:58 [ultranest] [DEBUG] iteration=902, ncalls=163671, regioncalls=0, ndraw=40, logz=-1470.67, remainder_fraction=100.0000%, Lmin=-1463.87, Lmax=-20.41
11:56:58 [ultranest] [DEBUG] iteration=952, ncalls=163671, regioncalls=0, ndraw=40, logz=-1455.02, remainder_fraction=100.0000%, Lmin=-1447.16, Lmax=-20.41
11:56:58 [ultranest] [DEBUG] iteration=960, ncalls=163671, regioncalls=0, ndraw=40, logz=-1452.20, remainder_fraction=100.0000%, Lmin=-1445.15, Lmax=-20.41
