Om Ob h ns s8 Mnu w scale_factor
1.558737257452542102e-01 6.476940818362049435e-02 5.863948976038876326e-01 8.368226708402793923e-01 9.194426924437389959e-01 5.342794789005406164e-02 -9.680262471832972171e-01 1.641244406168518566e+01
1.535275095344992569e-01 3.366587249063332510e-02 5.680225611410822939e-01 8.268939132804838943e-01 9.462146196050533753e-01 6.442085592241530989e-01 -9.263357194716100862e-01 1.625332931036540174e+01
1.468551942297202928e-01 6.077188963051649573e-02 6.662901608764506545e-01 8.460352306523245547e-01 8.909617206022824032e-01 2.960715224750164465e-01 -9.595548754188638618e-01 1.635692182082118507e+01
1.335362675267513788e-01 5.963469525072437327e-02 7.020905282724445584e-01 9.102967054140921332e-01 8.682316173572384166e-01 2.841772959105262064e-01 -1.017514250204108572e+00 1.634859813389980232e+01
1.441059741636020464e-01 4.079890802678212691e-02 5.665721084743570168e-01 8.438676930387971620e-01 9.427537487184664000e-01 3.435739582241804646e-01 -8.162405017239924288e-01 1.623370764406752542e+01
1.272777803488469028e-01 4.626052302209282541e-02 6.857275407937285516e-01 8.505226099229651338e-01 9.451735987776301862e-01 2.148674340386871329e-01 -8.501872532425106543e-01 1.619602457544977625e+01
1.600728187931412250e-01 6.940223081702111274e-02 7.905664751332081019e-01 8.095840414722030864e-01 8.884376268734910376e-01 4.657580621962938983e-01 -1.222341289653097851e+00 1.657813251655545272e+01
1.179179472537577877e-01 4.915102969996643090e-02 6.696035100042079247e-01 8.945637454190711324e-01 9.413333771237295533e-01 1.120341737466051257e-01 -9.631930825784413841e-01 1.628166732516963577e+01
1.430272466858098501e-01 5.398369119666687754e-02 5.400585766060590487e-01 8.774749241044563774e-01 9.049521363574279942e-01 4.875991503428822593e-02 -7.005541979472938996e-01 1.623123189872644900e+01
1.488280578158564238e-01 5.293118050972116240e-02 6.008250613587340361e-01 8.858723706361983918e-01 8.838754495385858778e-01 3.943592109540473012e-01 -9.217583868902647914e-01 1.637749091275903268e+01
1.378115398245352563e-01 5.219662487526401107e-02 7.371114240092606629e-01 9.080665794793763013e-01 8.672488472796281433e-01 6.259565666730988465e-01 -7.532896024412897296e-01 1.611786882156433620e+01
1.245641463801924059e-01 5.618422977694736975e-02 7.281370193262720614e-01 9.030122639833286780e-01 8.923840069404205266e-01 9.482912314779240459e-02 -7.519349312589755918e-01 1.615475482992774303e+01
1.497350060081327483e-01 5.686074198568645544e-02 6.363593037526199536e-01 8.458107389065487869e-01 9.038155341984550617e-01 3.145569107578964907e-01 -1.022169147936502709e+00 1.643583939890714873e+01
1.620510009126207018e-01 6.881260338081210404e-02 7.148108705333705570e-01 8.118726489750394126e-01 8.754638557894460771e-01 4.112462343780863283e-01 -1.219396291253933118e+00 1.669905804296835683e+01
1.278162392297715888e-01 4.767737548206810172e-02 6.862223259929558505e-01 8.599958879349335339e-01 9.423722486596805004e-01 1.826291414684538816e-01 -9.821948652618508468e-01 1.643708109022411179e+01
