logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 1.600000000000000000e+03 -2.726538629772561399e+04 -2.727276436911756537e+04 7.750000000000000222e-01
-2.727276436911756537e+04 nan -6.250000000000000130e-04 1.600000000000000000e+03 -2.458490582545948200e+04 -2.459228452185143396e+04 1.067499999999999893e+00
-2.459228452185143396e+04 nan -1.250000000000000026e-03 1.600000000000000000e+03 -2.145801132567611057e+04 -2.146539064706806312e+04 9.549999999999999600e-01
-2.146539064706806312e+04 nan -1.874999999999999931e-03 1.600000000000000000e+03 -2.022772469323229598e+04 -2.023510463962424910e+04 1.116249999999999964e+00
-2.023510463962424910e+04 1.202257067826385992e+03 -2.500000000000000052e-03 1.600000000000000000e+03 -2.013556767788246725e+04 -2.014294824927441732e+04 1.666250000000000009e+00
-2.014294824927441732e+04 6.133359175461368977e+02 -3.125000000000000173e-03 1.600000000000000000e+03 -1.932671648784277568e+04 -1.933409768423472633e+04 4.499999999999999833e-02
-1.933409768423472633e+04 7.809854888924969600e+02 -3.750000000000000295e-03 1.600000000000000000e+03 -1.917033615770008691e+04 -1.917771797909203815e+04 1.448749999999999982e+00
-1.917771797909203815e+04 3.485985208494335552e+02 -4.375000000000000416e-03 1.600000000000000000e+03 -1.808258189369071624e+04 -1.808996434008266806e+04 1.370000000000000107e+00
-1.808996434008266806e+04 7.826873399225759158e+02 -5.000000000000000104e-03 1.600000000000000000e+03 -1.781963668625736682e+04 -1.782701975764931922e+04 1.241249999999999964e+00
-1.782701975764931922e+04 3.705036655055188248e+02 -5.624999999999999792e-03 1.600000000000000000e+03 -1.774583969909033476e+04 -1.775322339548228774e+04 1.760000000000000009e+00
-1.775322339548228774e+04 3.774290611092418430e+02 -6.249999999999999480e-03 1.600000000000000000e+03 -1.764943075059086550e+04 -1.765681507198281906e+04 8.024999999999999911e-01
-1.765681507198281906e+04 1.228525884316189831e+02 -6.874999999999999167e-03 1.600000000000000000e+03 -1.718787669243196797e+04 -1.719526163882391847e+04 1.912500000000000089e+00
-1.719526163882391847e+04 2.403330684938966613e+02 -7.499999999999998855e-03 1.600000000000000000e+03 -1.695043310019412820e+04 -1.695781867158607929e+04 1.086249999999999938e+00
-1.695781867158607929e+04 1.985915609309640786e+02 -8.124999999999998543e-03 1.600000000000000000e+03 -1.686327935562906714e+04 -1.687066555202101881e+04 1.206250000000000044e+00
-1.687066555202101881e+04 4.130814839733868382e+01 -8.749999999999999098e-03 1.600000000000000000e+03 -1.661515624990408105e+04 -1.662254307129603330e+04 1.368749999999999911e+00
-1.662254307129603330e+04 1.325900096176644354e+02 -9.374999999999999653e-03 1.600000000000000000e+03 -1.645475244783786547e+04 -1.646213989422981831e+04 1.793749999999999956e+00
-1.646213989422981831e+04 1.214215999958911425e+02 -1.000000000000000021e-02 1.600000000000000000e+03 -1.627849012465250416e+04 -1.628587819604445576e+04 1.407499999999999973e+00
-1.628587819604445576e+04 1.818090820879310741e+02 -1.062500000000000076e-02 1.600000000000000000e+03 -1.623381852895006341e+04 -1.624120722534201559e+04 1.499999999999999944e-02
-1.624120722534201559e+04 1.950385890917077063e+02 -1.125000000000000132e-02 1.600000000000000000e+03 -1.618954791894730442e+04 -1.619693724033925719e+04 1.790000000000000036e+00
-1.619693724033925719e+04 7.240766114216391713e+01 -1.187500000000000187e-02 1.600000000000000000e+03 -1.616224442300481314e+04 -1.616963436939676467e+04 7.349999999999999867e-01
-1.616963436939676285e+04 2.575230795693590480e+01 -1.250000000000000243e-02 1.600000000000000000e+03 -1.616079675221304933e+04 -1.616818732360500144e+04 1.635000000000000009e+00
-1.616797603866415557e+04 2.180624951481316032e+01 -1.312500000000000298e-02 1.600000000000000000e+03 -1.597994359049666673e+04 -1.598733478688861942e+04 4.550000000000000155e-01
-1.598733478688861942e+04 9.919233300617742088e+01 -1.375000000000000354e-02 1.600000000000000000e+03 -1.596476782579979408e+04 -1.597215964719174553e+04 1.383750000000000036e+00
-1.597215964693498972e+04 7.850819524676994376e+01 -1.437500000000000409e-02 1.600000000000000000e+03 -1.590361314874736490e+04 -1.591100559513931694e+04 7.974999999999999867e-01
