Om Ob h ns s8 Mnu w scale_factor
3.501048593918589802e-01 4.372802686718187115e-02 5.570422660753451272e-01 1.143580625951385432e+00 6.307421165711412092e-01 7.076775633082492689e-01 -7.193368303376984629e-01 1.589542537589479743e+01
2.736078600759500601e-01 4.569387592253822128e-02 6.033378387871303206e-01 1.199179283918305305e+00 6.565760198474142051e-01 1.706977633488151458e-01 -9.553098545364060445e-01 1.600594815086670408e+01
4.039000177546415715e-01 6.898281079230084156e-02 5.474213802364863435e-01 1.141854045595446898e+00 6.534206676543123926e-01 9.520922844829347031e-01 -7.569751478332625849e-01 1.559621557566955019e+01
4.176240823944012970e-01 6.347387689893999041e-02 5.009707978065146561e-01 1.163547684821184980e+00 6.383126232378569798e-01 9.921347372272919518e-01 -7.134815951460697914e-01 1.568605573936354070e+01
2.963808607742486334e-01 4.586016488147760806e-02 6.378726522119881892e-01 1.175685711587187710e+00 6.437411883659565071e-01 7.554079870558111365e-01 -1.015689184380877297e+00 1.601358705547509587e+01
2.511138108134397529e-01 3.959074039669407963e-02 7.420811383128965710e-01 1.196175988752179231e+00 6.315775476388892917e-01 8.380713589197905655e-01 -8.282342013783070556e-01 1.576604021861447791e+01
3.960972356808326600e-01 4.801321319398754728e-02 5.359594543802169708e-01 1.104285635485944050e+00 6.603998017696309786e-01 8.792910720186375428e-01 -1.130896153093720491e+00 1.589434112364725493e+01
3.130259438097414693e-01 6.675849388294177733e-02 6.530618246633078661e-01 1.171521343160240924e+00 6.538690559676353375e-01 4.439589741766679643e-01 -9.139866779038399169e-01 1.566393112029713919e+01
3.102827580802819396e-01 6.200631301837326859e-02 5.691585726867478545e-01 1.177668714726023413e+00 6.779093921183843019e-01 4.102563309710482997e-03 -1.126945359714693007e+00 1.606669817636160857e+01
3.090363494496034535e-01 6.234098200887191327e-02 5.822445709019015148e-01 1.188173326470707725e+00 6.623784593986021818e-01 7.945668271063355270e-02 -8.687992084839839535e-01 1.586715724284432127e+01
3.757998990443114362e-01 5.752871311052276670e-02 5.783894261956140648e-01 1.152112605762279030e+00 6.581780920685532665e-01 9.634294249208928962e-01 -9.672273750758948463e-01 1.573519270239271961e+01
2.897444574129410810e-01 3.215293724720803825e-02 7.096855521931942912e-01 1.091526479511426562e+00 6.653812905370726227e-01 9.163159333432000508e-01 -1.279648547994547414e+00 1.600337566289870139e+01
3.410719447193243381e-01 4.051190742339754597e-02 5.363632253438487263e-01 1.195696388829407653e+00 6.401410292388264311e-01 9.192443918639650047e-01 -9.338390718790252620e-01 1.566314111223593386e+01
3.593623217290968785e-01 5.563994458783405594e-02 5.899865939557943362e-01 1.152889174196807254e+00 6.500912739304142152e-01 9.625147564417254609e-01 -9.210790069664076540e-01 1.561562156632015608e+01
3.690331924044333300e-01 5.545120316621499068e-02 5.074251472659174755e-01 1.194840119532632361e+00 6.378864597252777990e-01 7.696754708944547607e-01 -8.184576187580503426e-01 1.577823054818835224e+01
2.796983729615188929e-01 4.407488455144904782e-02 7.554956800825969321e-01 1.131189106770120745e+00 6.537602983108705690e-01 9.444626095776856856e-01 -1.162364991654524005e+00 1.596814613317444653e+01
3.759024315682778505e-01 3.365035522156271941e-02 5.139631397488977349e-01 1.158177779428968712e+00 6.626163600663143027e-01 9.546449181951504048e-01 -1.154208272715669281e+00 1.583925712553288712e+01
3.252787900895137696e-01 4.502454616281399702e-02 5.575485738136327640e-01 1.157073627150908779e+00 6.619091791601462438e-01 4.654273714124376182e-01 -1.124718505760537113e+00 1.603168415122005896e+01
2.832902321215865493e-01 5.721749601656632433e-02 8.094188185170159144e-01 1.122039614919347450e+00 6.308905312434147650e-01 7.604438077577048150e-01 -7.791375591708387116e-01 1.575810464818641066e+01
3.048279258125872193e-01 3.651869191164669459e-02 5.286221875208041432e-01 1.192389744148068420e+00 6.633949138793090450e-01 3.146666425212382157e-01 -9.341667576459499189e-01 1.579238841726129650e+01
2.705204603930886353e-01 4.034145976331390826e-02 6.401602923756850583e-01 1.184779106411071092e+00 6.518074271231937278e-01 2.940276330867706567e-01 -7.891738972892743398e-01 1.575109747231687152e+01
3.371640226170335986e-01 3.582748026287763121e-02 5.376892669777121325e-01 1.192480983435230346e+00 6.468179695492685122e-01 9.751724089378335236e-01 -1.267961670876130542e+00 1.584783306360791322e+01
2.817080547255138567e-01 4.316383188199097998e-02 6.708046563709290089e-01 1.152802609781466314e+00 6.456614425413509384e-01 4.764063133357826496e-01 -7.582535131758224578e-01 1.586528051298878594e+01
3.046003566572819121e-01 4.756786031497567402e-02 6.194416837541122378e-01 1.138073952090858709e+00 6.582149687459172283e-01 2.923326713954526035e-01 -1.006599377720021060e+00 1.596469011756052403e+01
3.217565173769755260e-01 6.797571588696967038e-02 6.687246924591809805e-01 1.104054751559070402e+00 6.564273384241164910e-01 1.037183460237221522e-01 -7.835314982151043717e-01 1.571943077447712867e+01
3.181778291198066322e-01 6.089914206719602985e-02 6.334595871215702445e-01 1.180985321546881295e+00 6.474546250315752483e-01 7.583491811961459161e-01 -1.019040739482997893e+00 1.585863433770282604e+01
4.038806099612356482e-01 5.828343530452261001e-02 5.831077815752341298e-01 1.064934626296019538e+00 6.817451364334986552e-01 9.465863759682915379e-01 -1.293448787405819367e+00 1.568840597782204327e+01
3.035133898800498331e-01 3.326821965692684790e-02 6.500318158128762791e-01 1.109737911816705891e+00 6.622102961142153355e-01 6.757484989816612275e-01 -9.308635730747916170e-01 1.576650794152479307e+01
2.950213059116765235e-01 5.974094561336304454e-02 6.366328411060556691e-01 1.193924899508760795e+00 6.402994017043041053e-01 3.681615189057551030e-01 -8.415408374246696743e-01 1.581926487377381108e+01
2.784882052834830590e-01 3.299361282813514928e-02 6.441990352078015292e-01 1.147625657868915683e+00 6.600255668735209857e-01 4.278592425004224542e-01 -8.414155755413643689e-01 1.577873606499586501e+01
3.026689796563499790e-01 5.119329352430042335e-02 6.645119020568971413e-01 1.132368803885739794e+00 6.463944461172161926e-01 3.865473190532041636e-01 -7.219590776975025603e-01 1.572714337646887728e+01
3.075919882317244003e-01 5.711320709628234932e-02 6.956954781042837821e-01 1.149501721807854260e+00 6.566584514079456536e-01 8.708397710852504581e-01 -1.273303825878016937e+00 1.590298281036466044e+01
4.085416316612670018e-01 6.932867068473466676e-02 5.645942636469695186e-01 1.108838683970633010e+00 6.552776038516647805e-01 7.979304614683407904e-01 -8.558259782170276608e-01 1.583331285852661807e+01
4.315847510991909219e-01 5.704514497589532190e-02 5.099799412008695354e-01 1.106090521734194532e+00 6.644154626795647500e-01 9.477427996927426657e-01 -1.025818083489956400e+00 1.580163522731515613e+01
2.978233284742760612e-01 5.029085769552921192e-02 6.049768774206258914e-01 1.198287217404026439e+00 6.341265317569314552e-01 5.496353759181465959e-01 -7.762801323936447950e-01 1.579224419119790390e+01
3.115480249751925168e-01 3.389311953935401217e-02 6.570444968544990605e-01 1.100206555555616861e+00 6.675845683810381903e-01 7.414309335904162301e-01 -1.140251887702559142e+00 1.591860263460764457e+01
3.146788500678276979e-01 5.229672545327632149e-02 6.322323366779923903e-01 1.164126657613024474e+00 6.491481250372744816e-01 7.493456800083625469e-01 -1.181709979448645642e+00 1.606428253259487704e+01
3.004590474724764260e-01 3.900160622048440273e-02 6.200975863081836792e-01 1.130821672777840403e+00 6.720402671460583566e-01 5.431849722049338913e-01 -1.239075279036807808e+00 1.588608225261559070e+01
2.863835746810448057e-01 3.930044904334398237e-02 6.507492592276244991e-01 1.131396758480523124e+00 6.618230595540124384e-01 3.820495575122079268e-01 -1.032165884622210816e+00 1.590555930814061014e+01
3.088017196053862712e-01 3.584274383226396937e-02 5.324094842684514717e-01 1.197971348169220462e+00 6.549405797584574307e-01 4.886276048373884295e-01 -1.202435549012236482e+00 1.600215112980389520e+01
2.835700997332197826e-01 4.688988954953005744e-02 6.224044442767849850e-01 1.166439194764868459e+00 6.683620715572260451e-01 1.356226693423988605e-01 -9.217276048831769542e-01 1.582506424627952235e+01
4.229967134835750375e-01 6.305850268539095471e-02 5.204260411746022275e-01 1.117473379871405825e+00 6.542097883443205308e-01 8.738389728693063407e-01 -8.081626516901327939e-01 1.570725193770953432e+01
