22:30:43 [ultranest] [DEBUG] ReactiveNestedSampler: dims=8+0, resume=True, log_dir=/home/ljy/BettiCurveCosmo/Emulator/model-fof-rsdz/mcmc_result/nwLH-Recovery/33/combined, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
22:30:43 [ultranest] [INFO] Sampling 1600 live points from prior ...
22:32:08 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.10, Lepsilon=0.0010, min_ess=400
22:32:08 [ultranest] [DEBUG] max_iters=-1, max_ncalls=-1, max_num_improvement_loops=-1, min_num_live_points=1600, cluster_num_live_points=40
22:32:08 [ultranest] [DEBUG] minimal_widths_sequence: [(-inf, 1600.0), (inf, 1600.0)]
22:32:10 [ultranest] [DEBUG] iteration=0, ncalls=1601, regioncalls=40, ndraw=40, logz=-inf, remainder_fraction=100.0000%, Lmin=-47392.42, Lmax=-125.86
22:32:10 [ultranest] [DEBUG] iteration=1, ncalls=1602, regioncalls=80, ndraw=40, logz=-47399.79, remainder_fraction=100.0000%, Lmin=-44721.98, Lmax=-125.86
22:32:10 [ultranest] [DEBUG] iteration=2, ncalls=1603, regioncalls=120, ndraw=40, logz=-44729.36, remainder_fraction=100.0000%, Lmin=-37351.45, Lmax=-125.86
22:32:10 [ultranest] [DEBUG] iteration=5, ncalls=1606, regioncalls=240, ndraw=40, logz=-26848.71, remainder_fraction=100.0000%, Lmin=-25928.97, Lmax=-125.86
22:32:10 [ultranest] [DEBUG] iteration=7, ncalls=1608, regioncalls=320, ndraw=40, logz=-25624.12, remainder_fraction=100.0000%, Lmin=-23489.47, Lmax=-125.86
22:32:10 [ultranest] [DEBUG] iteration=9, ncalls=1610, regioncalls=400, ndraw=40, logz=-23214.43, remainder_fraction=100.0000%, Lmin=-23115.16, Lmax=-125.86
22:32:10 [ultranest] [DEBUG] iteration=11, ncalls=1612, regioncalls=480, ndraw=40, logz=-22882.38, remainder_fraction=100.0000%, Lmin=-21704.91, Lmax=-125.86
22:32:11 [ultranest] [DEBUG] iteration=13, ncalls=1614, regioncalls=560, ndraw=40, logz=-21367.94, remainder_fraction=100.0000%, Lmin=-21148.47, Lmax=-125.86
22:32:11 [ultranest] [DEBUG] iteration=15, ncalls=1616, regioncalls=640, ndraw=40, logz=-20981.11, remainder_fraction=100.0000%, Lmin=-19328.47, Lmax=-125.86
22:32:11 [ultranest] [DEBUG] iteration=17, ncalls=1618, regioncalls=720, ndraw=40, logz=-19099.45, remainder_fraction=100.0000%, Lmin=-18708.92, Lmax=-125.86
22:32:11 [ultranest] [DEBUG] iteration=20, ncalls=1621, regioncalls=840, ndraw=40, logz=-18490.88, remainder_fraction=100.0000%, Lmin=-17915.63, Lmax=-125.86
22:32:11 [ultranest] [DEBUG] iteration=23, ncalls=1624, regioncalls=960, ndraw=40, logz=-16246.10, remainder_fraction=100.0000%, Lmin=-16198.15, Lmax=-125.86
22:32:11 [ultranest] [DEBUG] iteration=24, ncalls=1625, regioncalls=1000, ndraw=40, logz=-16205.54, remainder_fraction=100.0000%, Lmin=-15920.13, Lmax=-125.86
22:32:11 [ultranest] [DEBUG] iteration=26, ncalls=1627, regioncalls=1080, ndraw=40, logz=-15234.70, remainder_fraction=100.0000%, Lmin=-14904.30, Lmax=-125.86
22:32:12 [ultranest] [DEBUG] iteration=30, ncalls=1631, regioncalls=1240, ndraw=40, logz=-14545.25, remainder_fraction=100.0000%, Lmin=-13558.01, Lmax=-125.86
22:32:12 [ultranest] [DEBUG] iteration=32, ncalls=1633, regioncalls=1320, ndraw=40, logz=-12832.30, remainder_fraction=100.0000%, Lmin=-12644.63, Lmax=-125.86
22:32:12 [ultranest] [DEBUG] iteration=34, ncalls=1635, regioncalls=1400, ndraw=40, logz=-12549.71, remainder_fraction=100.0000%, Lmin=-12441.82, Lmax=-125.86
22:32:12 [ultranest] [DEBUG] iteration=36, ncalls=1637, regioncalls=1480, ndraw=40, logz=-12186.24, remainder_fraction=100.0000%, Lmin=-12084.81, Lmax=-125.86
22:32:12 [ultranest] [DEBUG] iteration=38, ncalls=1639, regioncalls=1560, ndraw=40, logz=-11551.98, remainder_fraction=100.0000%, Lmin=-11060.56, Lmax=-125.86
22:32:12 [ultranest] [DEBUG] iteration=39, ncalls=1640, regioncalls=1600, ndraw=40, logz=-11067.96, remainder_fraction=100.0000%, Lmin=-10989.19, Lmax=-125.86
22:32:12 [ultranest] [DEBUG] iteration=40, ncalls=1641, regioncalls=1640, ndraw=40, logz=-10996.59, remainder_fraction=100.0000%, Lmin=-10667.50, Lmax=-125.86
22:32:12 [ultranest] [DEBUG] iteration=41, ncalls=1642, regioncalls=1680, ndraw=40, logz=-10674.90, remainder_fraction=100.0000%, Lmin=-9896.18, Lmax=-125.86
22:32:13 [ultranest] [DEBUG] iteration=45, ncalls=1646, regioncalls=1840, ndraw=40, logz=-9186.99, remainder_fraction=100.0000%, Lmin=-9026.79, Lmax=-125.86
22:32:13 [ultranest] [DEBUG] iteration=47, ncalls=1648, regioncalls=1920, ndraw=40, logz=-8505.97, remainder_fraction=100.0000%, Lmin=-8391.22, Lmax=-125.86
22:32:13 [ultranest] [DEBUG] iteration=49, ncalls=1651, regioncalls=2040, ndraw=40, logz=-7606.03, remainder_fraction=100.0000%, Lmin=-7188.40, Lmax=-125.86
22:32:13 [ultranest] [DEBUG] iteration=50, ncalls=1652, regioncalls=2080, ndraw=40, logz=-7195.81, remainder_fraction=100.0000%, Lmin=-7089.34, Lmax=-125.86
22:32:13 [ultranest] [DEBUG] iteration=53, ncalls=1655, regioncalls=2200, ndraw=40, logz=-6910.17, remainder_fraction=100.0000%, Lmin=-6660.05, Lmax=-125.86
22:32:13 [ultranest] [DEBUG] iteration=55, ncalls=1657, regioncalls=2280, ndraw=40, logz=-6443.79, remainder_fraction=100.0000%, Lmin=-6405.73, Lmax=-125.86
22:32:13 [ultranest] [DEBUG] iteration=57, ncalls=1659, regioncalls=2360, ndraw=40, logz=-6339.56, remainder_fraction=100.0000%, Lmin=-6330.99, Lmax=-125.86
22:32:14 [ultranest] [DEBUG] iteration=58, ncalls=1660, regioncalls=2400, ndraw=40, logz=-6338.13, remainder_fraction=100.0000%, Lmin=-6311.51, Lmax=-125.86
22:32:14 [ultranest] [DEBUG] iteration=59, ncalls=1661, regioncalls=2440, ndraw=40, logz=-6318.92, remainder_fraction=100.0000%, Lmin=-6172.87, Lmax=-125.86
22:32:14 [ultranest] [DEBUG] iteration=61, ncalls=1663, regioncalls=2520, ndraw=40, logz=-6078.73, remainder_fraction=100.0000%, Lmin=-6059.66, Lmax=-125.86
22:32:14 [ultranest] [DEBUG] iteration=64, ncalls=1666, regioncalls=2640, ndraw=40, logz=-5790.39, remainder_fraction=100.0000%, Lmin=-5650.39, Lmax=-125.86
22:32:14 [ultranest] [DEBUG] iteration=66, ncalls=1668, regioncalls=2720, ndraw=40, logz=-5577.59, remainder_fraction=100.0000%, Lmin=-5548.81, Lmax=-125.86
22:32:14 [ultranest] [DEBUG] iteration=67, ncalls=1669, regioncalls=2760, ndraw=40, logz=-5556.23, remainder_fraction=100.0000%, Lmin=-5415.04, Lmax=-125.86
22:32:15 [ultranest] [DEBUG] iteration=69, ncalls=1671, regioncalls=2840, ndraw=40, logz=-5389.60, remainder_fraction=100.0000%, Lmin=-5213.96, Lmax=-125.86
22:32:15 [ultranest] [DEBUG] iteration=71, ncalls=1673, regioncalls=2920, ndraw=40, logz=-5179.29, remainder_fraction=100.0000%, Lmin=-5156.48, Lmax=-125.86
22:32:15 [ultranest] [DEBUG] iteration=73, ncalls=1675, regioncalls=3000, ndraw=40, logz=-5066.24, remainder_fraction=100.0000%, Lmin=-5047.13, Lmax=-125.86
