Om Ob h ns s8 Mnu w scale_factor
2.728063523214930286e-01 4.210276588034491535e-02 7.840261956704407398e-01 1.008086411022062201e+00 8.827181177749580110e-01 7.681111346136664242e-01 -8.409480603431875867e-01 1.391753943228271417e+01
3.632670652846747839e-01 6.802074605169858290e-02 5.791560768749458576e-01 1.002274011518406116e+00 9.295956467164807613e-01 2.136590132421756771e-01 -1.064277583535575555e+00 1.404629332478396719e+01
3.733141628889837804e-01 5.711307294654394823e-02 6.121895280703448794e-01 9.228065266819550638e-01 9.613175440381842574e-01 2.627602692331295620e-01 -1.260480701474073317e+00 1.416765672013533894e+01
2.538352043982533557e-01 5.172155929282039322e-02 8.450652645948972808e-01 1.035979952143664784e+00 8.899400140446083185e-01 5.872669359743081241e-01 -1.032408447736121948e+00 1.398537028494707890e+01
3.756549249800741341e-01 6.020102297301814509e-02 5.900841723437675324e-01 1.002317827232519498e+00 9.107212128431725340e-01 6.492617603249575264e-01 -9.119586106022958827e-01 1.403747445567518426e+01
2.633801106060920105e-01 5.485300262015015138e-02 8.836319589450947198e-01 1.038473312087185851e+00 8.830450136238030545e-01 8.863722077335201011e-01 -8.835798876532061641e-01 1.401710375493511229e+01
3.420357969470284587e-01 3.040531863403692428e-02 6.043147033892061204e-01 9.499205329649202945e-01 9.700447913200104244e-01 3.206295178171500448e-01 -1.170468271028598073e+00 1.425471729426744361e+01
2.918659058238967652e-01 6.401319397809744627e-02 8.871212883415169337e-01 9.297878753021961984e-01 9.322486263311599020e-01 3.176499126895389047e-01 -1.057454064412571615e+00 1.416290333616320751e+01
3.796365167173459954e-01 6.691160119414940599e-02 5.338106648335781967e-01 1.005746349153418873e+00 9.634043919523289645e-01 4.990388572863585503e-02 -1.012405162416319948e+00 1.407115184312621459e+01
4.124991974809657513e-01 6.255522678296640549e-02 5.392468651458239837e-01 9.434674233617713623e-01 9.646055906767905253e-01 2.334992029132472169e-01 -1.180481082063815190e+00 1.416556304878617034e+01
3.202537692973247418e-01 6.042018005536872044e-02 8.791031738408434659e-01 8.622991898343020933e-01 9.198172104184376696e-01 9.985815972723877110e-02 -7.006690223455952493e-01 1.407775510743846681e+01
3.853883046168117277e-01 6.290224101696612058e-02 5.780717538545138146e-01 9.280822791451943665e-01 9.670680783547060955e-01 5.268502457385915161e-03 -1.044725352811496144e+00 1.411267004022348814e+01
4.792887789537070287e-01 5.994574320777011633e-02 5.310718107318460612e-01 9.238377415122622782e-01 9.606135826669681688e-01 9.212716653186773241e-01 -8.925088254451438718e-01 1.392418776003948899e+01
3.117697442268688723e-01 6.092156847761703853e-02 8.993878345842525324e-01 8.776588801785667471e-01 9.415328367160751277e-01 3.243971909264989906e-01 -7.975548874989690784e-01 1.395254631102132947e+01
4.604039956010699264e-01 4.046618960194194037e-02 5.093449486507037882e-01 9.028231131432126189e-01 9.906028728218173596e-01 5.470815078782921281e-01 -1.192585353107802115e+00 1.415326717949328739e+01
3.679192345043175161e-01 4.643070282317184050e-02 5.029841867388150645e-01 1.022743444810809255e+00 9.694597896162882034e-01 2.733254988732289892e-01 -1.242180133623851379e+00 1.411443005190080235e+01
3.315940661520269672e-01 6.054806206977366573e-02 5.354329541595200803e-01 1.066666591528427244e+00 9.328497091030722999e-01 8.450325593738361452e-02 -1.152168325342527222e+00 1.404130710590206732e+01
3.924281234294891840e-01 6.213706231654566453e-02 5.054942677418228225e-01 1.073041531285766181e+00 9.093622057307511053e-01 8.600037890297439480e-01 -1.048068055024905298e+00 1.388990862202334675e+01
