7.290876500177688735e-01,8.589962298036704080e-01,4.704154309119561450e-01,6.358423072879100246e-01,3.904975684257086521e-01,8.568623289239520879e-01,3.880282353537242712e-02,1.494945953873892952e-01
9.939566725948077996e-01,5.013455769150498842e-01,3.645132476787281139e-01,2.075987567350782159e-01,4.924817858356804745e-01,7.837694941917764391e-01,1.493092035727649203e-01,1.510598531016335844e-01
9.864374692655155652e-01,6.894159814009981346e-01,1.698435003876375138e-01,3.912563380566945748e-01,4.893964116307532031e-01,3.351211676510018056e-01,9.098100444833612244e-03,1.534572002109798050e-01
9.817372789206942896e-01,1.229700294650603043e-01,4.659558215370328549e-01,2.552794483861559049e-02,5.720072385786387770e-01,6.288601803916492594e-01,3.085253884560748006e-01,1.525865617181739464e-01
8.079854631898873984e-01,9.502247823703313667e-01,1.935835988313408529e-01,7.193251522442289936e-01,3.859155382972067061e-01,5.722216094056815638e-01,5.863223179968560239e-02,1.502373196378808951e-01
9.837769883417276651e-01,9.624553248240268477e-01,1.598661470125807837e-01,4.144255973780301416e-01,4.709970213026792862e-01,2.204232600154581445e-01,1.605109552000888451e-02,1.524490997968689643e-01
8.874005090437255827e-01,9.553618500044716022e-01,3.675016926859330790e-01,5.015117447671101347e-01,3.925401216849784825e-01,9.861562734421382981e-01,9.071779223912251888e-03,1.498218074458523841e-01
9.146784473830318341e-01,8.617107166459834211e-01,1.530656324073774444e-01,5.943978990414117147e-01,3.826215833518515352e-01,6.746442156967228376e-01,4.592210307137707670e-02,1.497118241857214316e-01
9.743586203899909925e-01,7.426239614789198473e-01,5.940442867909856428e-02,6.057066024498882761e-01,4.292562909812404071e-01,7.000786736115399700e-01,3.281768992509443428e-01,1.504422790881501104e-01
8.348429169260163096e-01,4.958379611878183102e-01,8.685675287864167426e-01,5.207672315750161429e-02,5.099984628155621591e-01,9.509408228259771390e-01,2.097010430341728071e-02,1.513788663290216441e-01
9.977250600833600380e-01,1.005158949906970189e-01,9.339033236201982335e-02,3.639723884305516299e-01,4.934197655464288568e-01,5.150103518137860714e-01,1.132077684224946368e-01,1.509569868398309700e-01
9.921940363485829417e-01,8.196444838315521952e-01,8.262724360326223483e-02,5.313997426811564173e-01,4.343451394375886787e-01,5.337531632719367813e-01,1.036171251866441767e-01,1.502366531286932760e-01
9.802572872721579955e-01,7.135802437548810495e-01,2.154577739140019210e-01,4.893030559504675248e-01,4.024357413429788810e-01,9.856994225659687636e-01,5.935744192428656085e-02,1.500570501868863649e-01
9.248543428634159458e-01,8.472257412932041598e-01,1.438082429473622192e-01,6.091330461676457420e-01,3.646294191567256981e-01,8.339002979559935191e-01,1.197869849501795453e-01,1.495927919841293641e-01
9.578066806090086427e-01,3.054456543444750150e-02,4.769642234049296103e-01,5.737433124799384832e-02,5.363218746620113109e-01,8.375609972911070011e-01,2.591953544251831554e-01,1.514436525398564215e-01
8.043473863831580584e-01,9.822797001331953215e-01,4.314528878257947175e-01,4.943226532561683650e-01,4.144610128853508657e-01,5.678763199597626210e-01,4.112618746619406407e-02,1.514686043612996635e-01
9.861392995505342540e-01,5.513853867909335182e-01,2.467508684145972575e-01,3.598537010695135319e-01,4.768873681337805759e-01,7.780798512798957622e-01,1.440781488780737418e-01,1.510631950580585414e-01
9.330899501792198070e-01,1.272827191184707218e-01,5.029517038969267828e-01,1.559268993862760744e-01,5.369079610758007437e-01,9.730389726500936476e-01,6.116689976606801138e-02,1.519701529453229838e-01
7.843177628209538899e-01,9.487906040926159523e-01,4.089434563040349468e-01,5.970915361946643740e-01,3.697516909755163006e-01,8.819032028490066955e-01,1.814917378961859451e-01,1.497152981585281872e-01
9.446281706343518936e-01,5.725891669768439218e-01,1.785273459846701272e-01,4.756276141623047016e-01,4.481951652729050384e-01,7.033100872712900742e-01,1.055435827311670266e-01,1.514105026876348681e-01
9.740457301493368192e-01,8.113544913840864403e-01,1.912694799810227275e-02,6.273149544455536297e-01,4.255567769655311805e-01,5.489042029521435939e-01,1.897978028576287057e-01,1.505661037757257681e-01
9.645559168687337648e-01,6.697128410194405079e-01,6.866440868275738851e-02,5.987748326268228505e-01,3.997529523895436698e-01,7.907217788612234122e-01,1.467583759571106095e-02,1.498215806325041977e-01
9.895752765884762159e-01,1.890576056997755883e-01,3.436044509141299441e-01,1.558667246527126182e-01,5.718915272395361793e-01,5.897792981689877756e-01,1.411090213777488334e-01,1.524265208676609251e-01
9.501825506526234699e-01,1.367052045331381138e-01,4.686421514355295082e-01,1.051511469470440274e-01,5.532174758671397630e-01,8.842980327646334793e-01,3.155928963196202863e-01,1.514041670148824070e-01
9.861125771773029403e-01,9.391281769687450653e-01,7.148450136253348131e-02,6.411555168764242474e-01,3.858990372400172841e-01,9.198169814697971791e-01,1.389853770645909370e-01,1.502276148173237735e-01
