11:11:46 [ultranest] [DEBUG] ReactiveNestedSampler: dims=8+0, resume=True, log_dir=/home/ljy/BettiCurveCosmo/Emulator/model-fof/mcmc_result/1/dim0, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
11:11:52 [ultranest] [DEBUG] iteration=421, ncalls=1693, regioncalls=19720, ndraw=40, logz=-751.87, remainder_fraction=100.0000%, Lmin=-743.62, Lmax=-9.68
11:11:52 [ultranest] [DEBUG] iteration=434, ncalls=1712, regioncalls=20480, ndraw=40, logz=-726.34, remainder_fraction=100.0000%, Lmin=-716.97, Lmax=-9.68
11:11:52 [ultranest] [DEBUG] iteration=449, ncalls=1734, regioncalls=21360, ndraw=40, logz=-682.68, remainder_fraction=100.0000%, Lmin=-674.19, Lmax=-9.68
11:11:52 [ultranest] [DEBUG] iteration=461, ncalls=1751, regioncalls=22040, ndraw=40, logz=-631.42, remainder_fraction=100.0000%, Lmin=-621.72, Lmax=-9.68
11:11:53 [ultranest] [DEBUG] iteration=474, ncalls=1769, regioncalls=22760, ndraw=40, logz=-601.49, remainder_fraction=100.0000%, Lmin=-592.80, Lmax=-9.68
11:11:53 [ultranest] [DEBUG] iteration=480, ncalls=1778, regioncalls=23120, ndraw=40, logz=-579.36, remainder_fraction=100.0000%, Lmin=-571.28, Lmax=-9.68
11:11:53 [ultranest] [DEBUG] iteration=494, ncalls=1802, regioncalls=24080, ndraw=40, logz=-546.47, remainder_fraction=100.0000%, Lmin=-537.80, Lmax=-9.68
11:11:53 [ultranest] [DEBUG] iteration=508, ncalls=1825, regioncalls=25000, ndraw=40, logz=-502.28, remainder_fraction=100.0000%, Lmin=-491.82, Lmax=-9.68
11:11:53 [ultranest] [DEBUG] iteration=522, ncalls=1845, regioncalls=25800, ndraw=40, logz=-477.71, remainder_fraction=100.0000%, Lmin=-470.55, Lmax=-9.68
11:11:53 [ultranest] [DEBUG] iteration=536, ncalls=1865, regioncalls=26600, ndraw=40, logz=-420.41, remainder_fraction=100.0000%, Lmin=-412.73, Lmax=-9.68
11:11:53 [ultranest] [DEBUG] iteration=552, ncalls=1888, regioncalls=27520, ndraw=40, logz=-387.70, remainder_fraction=100.0000%, Lmin=-379.13, Lmax=-9.68
11:11:53 [ultranest] [DEBUG] iteration=564, ncalls=1907, regioncalls=28280, ndraw=40, logz=-355.90, remainder_fraction=100.0000%, Lmin=-343.72, Lmax=-9.68
11:11:53 [ultranest] [DEBUG] iteration=578, ncalls=1931, regioncalls=29240, ndraw=40, logz=-327.16, remainder_fraction=100.0000%, Lmin=-320.48, Lmax=-9.68
11:11:54 [ultranest] [DEBUG] iteration=593, ncalls=1951, regioncalls=30040, ndraw=40, logz=-300.16, remainder_fraction=100.0000%, Lmin=-289.20, Lmax=-9.68
11:11:54 [ultranest] [DEBUG] iteration=600, ncalls=1960, regioncalls=30400, ndraw=40, logz=-288.09, remainder_fraction=100.0000%, Lmin=-281.25, Lmax=-9.68
11:11:54 [ultranest] [DEBUG] iteration=612, ncalls=1984, regioncalls=31360, ndraw=40, logz=-270.50, remainder_fraction=100.0000%, Lmin=-262.13, Lmax=-9.68
11:11:54 [ultranest] [DEBUG] iteration=627, ncalls=2006, regioncalls=32240, ndraw=40, logz=-246.57, remainder_fraction=100.0000%, Lmin=-239.58, Lmax=-9.68
11:11:54 [ultranest] [DEBUG] iteration=640, ncalls=2023, regioncalls=32920, ndraw=40, logz=-234.04, remainder_fraction=100.0000%, Lmin=-225.93, Lmax=-9.68
11:11:54 [ultranest] [DEBUG] iteration=655, ncalls=2043, regioncalls=33720, ndraw=40, logz=-210.56, remainder_fraction=100.0000%, Lmin=-203.87, Lmax=-9.68
11:11:54 [ultranest] [DEBUG] iteration=668, ncalls=2065, regioncalls=34600, ndraw=40, logz=-202.02, remainder_fraction=100.0000%, Lmin=-194.58, Lmax=-9.68
11:11:54 [ultranest] [DEBUG] iteration=674, ncalls=2073, regioncalls=34920, ndraw=40, logz=-195.43, remainder_fraction=100.0000%, Lmin=-186.66, Lmax=-9.68
11:11:54 [ultranest] [DEBUG] iteration=681, ncalls=2084, regioncalls=35360, ndraw=40, logz=-188.09, remainder_fraction=100.0000%, Lmin=-178.85, Lmax=-9.68
11:11:54 [ultranest] [DEBUG] iteration=690, ncalls=2101, regioncalls=36040, ndraw=40, logz=-178.83, remainder_fraction=100.0000%, Lmin=-171.44, Lmax=-9.68
11:11:55 [ultranest] [DEBUG] iteration=702, ncalls=2119, regioncalls=36760, ndraw=40, logz=-163.99, remainder_fraction=100.0000%, Lmin=-154.95, Lmax=-9.68
11:11:55 [ultranest] [DEBUG] iteration=708, ncalls=2134, regioncalls=37360, ndraw=40, logz=-156.66, remainder_fraction=100.0000%, Lmin=-148.62, Lmax=-9.68
11:11:55 [ultranest] [DEBUG] iteration=717, ncalls=2152, regioncalls=38080, ndraw=40, logz=-149.06, remainder_fraction=100.0000%, Lmin=-141.91, Lmax=-9.68
11:11:55 [ultranest] [DEBUG] iteration=720, ncalls=2157, regioncalls=38280, ndraw=40, logz=-146.91, remainder_fraction=100.0000%, Lmin=-139.94, Lmax=-9.68
11:11:55 [ultranest] [DEBUG] iteration=730, ncalls=2178, regioncalls=39120, ndraw=40, logz=-142.02, remainder_fraction=100.0000%, Lmin=-134.69, Lmax=-9.68
11:11:55 [ultranest] [DEBUG] iteration=742, ncalls=2198, regioncalls=39920, ndraw=40, logz=-136.95, remainder_fraction=100.0000%, Lmin=-130.95, Lmax=-9.68
11:11:55 [ultranest] [DEBUG] iteration=751, ncalls=2214, regioncalls=40560, ndraw=40, logz=-133.05, remainder_fraction=100.0000%, Lmin=-125.76, Lmax=-9.68
