logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 1.600000000000000000e+03 -3.322824659720867203e+04 -3.323562466860062705e+04 1.250000000000000000e-01
-3.323562466860062705e+04 nan -6.250000000000000130e-04 1.600000000000000000e+03 -3.224640085780031222e+04 -3.225377955419226419e+04 7.850000000000000311e-01
-3.225377955419226419e+04 nan -1.250000000000000026e-03 1.600000000000000000e+03 -3.125659373029313429e+04 -3.126397305168508683e+04 6.125000000000000444e-01
-3.126397305168508683e+04 7.490500747833533524e+02 -1.874999999999999931e-03 1.600000000000000000e+03 -3.064544951111376213e+04 -3.065282945750571525e+04 9.687500000000000000e-01
-3.065282945750571525e+04 7.492941457939431302e+02 -2.500000000000000052e-03 1.600000000000000000e+03 -3.008335255592765316e+04 -3.009073312731960323e+04 1.092500000000000027e+00
-3.009073312731960323e+04 2.430925449673083563e+02 -3.125000000000000173e-03 1.600000000000000000e+03 -3.005696868131959127e+04 -3.006434987771154192e+04 1.711249999999999938e+00
-3.006434987771153828e+04 1.620490259995779354e+02 -3.750000000000000295e-03 1.600000000000000000e+03 -2.880928464339210768e+04 -2.881666646478405892e+04 1.267500000000000071e+00
-2.881666646478405892e+04 5.402189866643738014e+02 -4.375000000000000416e-03 1.600000000000000000e+03 -2.540435678774410189e+04 -2.541173923413605371e+04 1.441249999999999920e+00
-2.541173923413605371e+04 1.678730279210514254e+03 -5.000000000000000104e-03 1.600000000000000000e+03 -2.516546483420192453e+04 -2.517284790559387693e+04 9.575000000000000178e-01
-2.517284790559387693e+04 1.350386151124108437e+03 -5.624999999999999792e-03 1.600000000000000000e+03 -2.335004384904766630e+04 -2.335742754543961928e+04 1.308750000000000080e+00
-2.335742754543961928e+04 1.887994998363600189e+03 -6.249999999999999480e-03 1.600000000000000000e+03 -2.297880539379324182e+04 -2.298618971518519538e+04 3.287499999999999867e-01
-2.298618971518519538e+04 1.692531907488847764e+03 -6.874999999999999167e-03 1.600000000000000000e+03 -2.250258007136394008e+04 -2.250996501775589059e+04 1.530000000000000027e+00
-2.250996501775589059e+04 7.100141668000475192e+02 -7.499999999999998855e-03 1.600000000000000000e+03 -2.226962836720582709e+04 -2.227701393859777818e+04 2.562499999999999778e-01
-2.227701393859777818e+04 3.811907543296002245e+02 -8.124999999999998543e-03 1.600000000000000000e+03 -2.129496973479078588e+04 -2.130235593118273755e+04 7.000000000000000666e-02
-2.130235593118273755e+04 3.624139184016103741e+02 -8.749999999999999098e-03 1.600000000000000000e+03 -1.975478951073424832e+04 -1.976217633212620058e+04 1.699999999999999956e+00
-1.976217633212620058e+04 9.872783587150256608e+02 -9.374999999999999653e-03 1.600000000000000000e+03 -1.933882737814410575e+04 -1.934621482453605859e+04 1.541250000000000009e+00
-1.934621482453605859e+04 5.394668755901712984e+02 -1.000000000000000021e-02 1.600000000000000000e+03 -1.764102925287995458e+04 -1.764841732427190800e+04 3.125000000000000000e-02
-1.764841732427190800e+04 8.849153210946959689e+02 -1.062500000000000076e-02 1.600000000000000000e+03 -1.757564576333054720e+04 -1.758303445972249756e+04 1.557500000000000107e+00
-1.758303445972249756e+04 4.855423365172460421e+02 -1.125000000000000132e-02 1.600000000000000000e+03 -1.704878010212886875e+04 -1.705616942352081969e+04 5.949999999999999734e-01
-1.705616942352081969e+04 6.307771681575870844e+02 -1.187500000000000187e-02 1.600000000000000000e+03 -1.586845806172411358e+04 -1.587584800811606510e+04 1.189999999999999947e+00
