Om Ob h ns s8 Mnu w scale_factor
2.649744591455578391e-01 4.052015333634310934e-02 7.608007387485455908e-01 1.139359393032611356e+00 7.869420768179283820e-01 9.452894550344284053e-01 -9.866869890331596560e-01 1.430695318172525177e+01
3.299830457257882932e-01 6.819982533043393580e-02 7.096331154676789321e-01 1.087182770743335469e+00 7.796646104143549749e-01 4.777245521403699069e-01 -8.294738440157622961e-01 1.425116469837803024e+01
3.694529429579603841e-01 4.053183958354051458e-02 5.862780892790282472e-01 1.059503949654020616e+00 8.254706321459401863e-01 6.153276649972603263e-01 -8.050768405551009810e-01 1.426535492447446352e+01
3.579093338948852177e-01 4.174620008836414653e-02 5.057523905734936376e-01 1.178305227951335077e+00 7.957838845978587594e-01 6.955165457653489369e-01 -7.584864948944302077e-01 1.400341921886359486e+01
2.781253382334681890e-01 6.826322632627529474e-02 8.139095439689891798e-01 1.150521049655399253e+00 7.807491407351955237e-01 6.890668184233870175e-01 -1.138710393282564848e+00 1.433731601020167901e+01
2.859009777001195740e-01 5.744047056295485676e-02 8.978639488524939871e-01 1.053958882822385590e+00 8.049772397046751626e-01 8.812292255106169980e-01 -9.042018607211852466e-01 1.408528194558268432e+01
3.011389491665091289e-01 3.011187473214268009e-02 5.494715374249925510e-01 1.179473112597695161e+00 8.136614561934110146e-01 4.967358959645461480e-01 -1.046676528236282877e+00 1.416490654242515390e+01
3.331357463573316746e-01 5.099737696473939652e-02 6.300872996618211985e-01 1.148317567788665006e+00 7.970892004062415381e-01 9.835149492975068242e-01 -1.100461352629327427e+00 1.432913369239092205e+01
2.674732074669216031e-01 5.310254641004986953e-02 7.923365044256894807e-01 1.145872779121188234e+00 7.714318439625859058e-01 9.108139909591239647e-01 -1.209832314945254339e+00 1.438554173661695579e+01
2.523010224409901192e-01 3.233361370390818584e-02 8.411997276746168151e-01 1.054131152655164883e+00 7.974674233226743958e-01 4.237162567935742752e-01 -7.520110947057789819e-01 1.401183703776029965e+01
2.781953890513131356e-01 4.870806352407164308e-02 8.312231415776498711e-01 1.072769702015997195e+00 8.046689749417068604e-01 7.660503247812304739e-01 -8.741642232447586203e-01 1.416063328192203308e+01
2.662594371432971951e-01 6.181419322664264554e-02 8.765519030637261011e-01 1.120943088859705616e+00 7.724587350558810295e-01 7.249898949037302254e-01 -1.006993719045923275e+00 1.436883075178218760e+01
3.390855062517742491e-01 5.954469489410647853e-02 7.588418631050766194e-01 1.017840021916417204e+00 7.999247641363971262e-01 7.749771388996952171e-01 -9.011151562470733900e-01 1.429435137177624249e+01
2.854769850877433290e-01 4.707460468845864332e-02 7.123401954737778041e-01 1.133793977789851803e+00 8.032435672619723244e-01 7.215430776076163788e-01 -1.185637356573961743e+00 1.430634087530610365e+01
3.195849712617785388e-01 5.257134247414647216e-02 5.897728564621123049e-01 1.147204880059076615e+00 8.032638406519508889e-01 3.989108444409670273e-01 -9.190099930723852895e-01 1.428814709726162846e+01
3.667365288111608113e-01 4.703664193384816949e-02 6.147247771337855937e-01 1.095611904053675811e+00 8.025691430332525522e-01 9.723862773707204754e-01 -8.069981402110424362e-01 1.411472684044488624e+01
2.975365778286604423e-01 5.247499193293846120e-02 5.887200473663933842e-01 1.193595585067447784e+00 7.978908150026780000e-01 3.919508865288000576e-01 -1.016707687268251004e+00 1.435957681415295717e+01
2.747478816871216090e-01 3.867583606849233496e-02 7.169022886985205734e-01 1.094339706447648997e+00 8.188059214583426337e-01 4.810336631709931643e-01 -1.210804085642010364e+00 1.430664912469568861e+01
2.889403234480848459e-01 3.244373750412509610e-02 5.163388378153800362e-01 1.199212329233079855e+00 8.115440463918808245e-01 1.797882808662437104e-01 -7.877027573846734354e-01 1.403211378900275008e+01
3.051720806462483448e-01 5.962747470967276475e-02 7.639682726100440746e-01 1.086381350174176363e+00 7.987718230280772547e-01 8.023934524631746168e-01 -1.151272203366772606e+00 1.438687688062463543e+01
2.746042498430932843e-01 6.300512692668545911e-02 8.898983353387832640e-01 1.118809277861056550e+00 7.747123953606522839e-01 9.682621984369774726e-01 -1.066479793287092859e+00 1.427002593488107784e+01
3.764637825613097455e-01 5.343489633920267545e-02 5.197715516791959756e-01 1.142715938915651597e+00 7.894178978441225292e-01 8.189117999812240978e-01 -8.823174695090716391e-01 1.411569289866376664e+01
3.143996379945976916e-01 6.362485342421489443e-02 6.594107538328494167e-01 1.178218527542820748e+00 7.611696846581553766e-01 8.252701810263239901e-01 -7.097731376754544685e-01 1.413822160674537898e+01
3.675380220450882307e-01 4.440479486308280405e-02 5.095065766503680260e-01 1.174608303087970373e+00 7.663888939529570621e-01 9.581777386995756762e-01 -8.001941838593555900e-01 1.393791231925967722e+01
