4.683682990949600278e-02,4.344128405664100523e-01,7.179725908994488703e-01,1.907088098850162616e-02,2.119646891349636908e-01,1.024685425052470622e-01,9.004175475864916178e-01,1.562178109886580568e-02
8.711412916750421731e-01,6.882096463642785045e-01,5.005038968885955342e-02,1.794064349122748148e-02,3.564314813662783354e-02,9.036904003063028767e-01,8.914578205585348414e-01,3.645505312519392582e-03
8.432826516734999167e-01,2.381505565946173686e-02,3.682701782135588964e-03,4.534195426208155189e-01,7.274027491416386049e-01,7.392797590413803244e-01,1.854801246886627064e-01,1.514540375220361224e-01
5.323743655488365478e-01,4.689286595717971906e-01,7.752282260544527404e-01,4.372440581721881436e-02,4.178323756727392313e-01,9.474865570509587442e-01,7.078315038506762802e-01,1.406891344678672384e-01
5.166466253748810411e-01,2.763694029339223146e-01,4.480259274481087628e-01,1.750973393500045994e-01,5.412690469071234078e-01,3.261534922175735041e-02,2.051173484962501847e-01,1.460365041998682445e-01
1.678473662365500552e-01,9.154895338995630016e-01,7.351259987099210136e-01,7.673737485122511526e-02,7.255865594746069291e-02,4.651922219546018589e-01,4.766107305080682366e-01,1.059528869636561232e-02
5.844347039645245712e-01,9.827392523852247486e-01,3.632464471509005977e-01,2.875343611758018891e-02,2.939921890935948134e-03,5.992595442200603362e-01,8.527693194379787345e-01,5.595145624132435991e-03
1.871045162684297214e-01,5.416466723130241023e-01,6.552367757992565434e-01,3.607404502491229348e-02,2.038621551119412789e-02,7.022760962450133038e-01,8.489191998215518398e-01,9.829250851763005059e-03
6.304994853176665304e-01,9.284738171181164956e-01,4.998825467523714261e-01,2.223602307940394374e-01,5.389521932947484162e-01,5.268326231963328388e-01,1.298540724554667625e-01,1.467250445721769436e-01
5.668705087151865163e-01,5.172956311007954611e-01,2.594816246104237889e-01,4.948664057452234477e-01,5.133381135640361359e-01,5.520090040897694950e-01,3.402823202897532484e-01,1.465257390503398316e-01
1.058236115105832820e-01,9.871525219155116160e-01,7.589728678719860344e-01,2.191390252841152186e-01,1.930240424122398046e-02,1.679327853178771424e-01,8.215031755065186347e-01,4.319003382094899202e-03
4.924989371280519279e-02,8.439747749841194358e-01,7.271002056103542666e-01,2.095692478848792950e-01,9.063866387736385644e-02,2.839475779275022482e-01,8.390459008322894707e-01,6.539048030383298737e-03
7.690510389428160121e-01,5.724710058419291148e-02,8.032208882338681688e-01,1.887697093685025695e-02,8.778341303255016159e-01,7.378564766071792347e-01,1.692336068647970482e-01,1.558730558486336459e-01
7.573057645213927547e-01,2.153202583828648375e-01,4.080481718539120672e-01,2.498842717223005438e-01,6.558261419907948087e-01,7.963652265463594393e-01,9.999264746492018130e-01,1.471600390804476133e-01
4.176072442450186051e-01,4.856036464124335872e-01,1.655702519701255371e-01,8.362624731917208676e-01,4.329059646090348545e-01,2.623587080373611657e-01,1.477706488151041553e-01,1.474443032242158669e-01
8.759344552685349727e-01,8.061073529237341440e-01,3.338873766271125421e-01,2.644433529922224357e-01,6.384091675295787693e-01,9.926274036119557831e-01,2.588790401251959139e-01,1.505805503771925347e-01
1.394244294352287028e-02,8.217663292790637897e-01,9.380067125522155713e-01,1.258389494208885795e-01,2.799601728766075714e-01,3.628082608088523120e-01,7.874728299840888512e-01,5.954885770627416086e-03
