14:42:36 [ultranest] [DEBUG] ReactiveNestedSampler: dims=8+0, resume=True, log_dir=/home/ljy/BettiCurveCosmo/Emulator/model-fof/mcmc_result/5/combined, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
14:42:37 [ultranest] [INFO] Sampling 1200 live points from prior ...
14:42:56 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.50, Lepsilon=0.0010, min_ess=400
14:42:56 [ultranest] [DEBUG] max_iters=-1, max_ncalls=-1, max_num_improvement_loops=-1, min_num_live_points=1200, cluster_num_live_points=100
14:42:56 [ultranest] [DEBUG] minimal_widths_sequence: [(-inf, 1200.0), (inf, 1200.0)]
14:42:56 [ultranest] [DEBUG] iteration=0, ncalls=1201, regioncalls=40, ndraw=40, logz=-inf, remainder_fraction=100.0000%, Lmin=-87303.75, Lmax=-190.50
14:42:57 [ultranest] [DEBUG] iteration=6, ncalls=1207, regioncalls=280, ndraw=40, logz=-49234.18, remainder_fraction=100.0000%, Lmin=-48539.71, Lmax=-190.50
14:42:57 [ultranest] [DEBUG] iteration=12, ncalls=1213, regioncalls=520, ndraw=40, logz=-39081.83, remainder_fraction=100.0000%, Lmin=-37315.94, Lmax=-190.50
14:42:57 [ultranest] [DEBUG] iteration=18, ncalls=1219, regioncalls=760, ndraw=40, logz=-31082.44, remainder_fraction=100.0000%, Lmin=-30494.62, Lmax=-190.50
14:42:57 [ultranest] [DEBUG] iteration=24, ncalls=1225, regioncalls=1000, ndraw=40, logz=-27134.43, remainder_fraction=100.0000%, Lmin=-26909.76, Lmax=-190.50
14:42:57 [ultranest] [DEBUG] iteration=30, ncalls=1231, regioncalls=1240, ndraw=40, logz=-24895.48, remainder_fraction=100.0000%, Lmin=-24342.47, Lmax=-190.50
14:42:57 [ultranest] [DEBUG] iteration=36, ncalls=1237, regioncalls=1480, ndraw=40, logz=-21769.02, remainder_fraction=100.0000%, Lmin=-21460.29, Lmax=-190.50
14:42:57 [ultranest] [DEBUG] iteration=42, ncalls=1243, regioncalls=1720, ndraw=40, logz=-19553.26, remainder_fraction=100.0000%, Lmin=-18830.17, Lmax=-190.50
14:42:57 [ultranest] [DEBUG] iteration=48, ncalls=1249, regioncalls=1960, ndraw=40, logz=-17064.45, remainder_fraction=100.0000%, Lmin=-16970.44, Lmax=-190.50
14:42:57 [ultranest] [DEBUG] iteration=53, ncalls=1255, regioncalls=2200, ndraw=40, logz=-15742.66, remainder_fraction=100.0000%, Lmin=-15659.23, Lmax=-190.50
14:42:58 [ultranest] [DEBUG] iteration=58, ncalls=1261, regioncalls=2440, ndraw=40, logz=-15084.30, remainder_fraction=100.0000%, Lmin=-14883.99, Lmax=-190.50
14:42:58 [ultranest] [DEBUG] iteration=64, ncalls=1267, regioncalls=2680, ndraw=40, logz=-14276.73, remainder_fraction=100.0000%, Lmin=-14108.80, Lmax=-190.50
14:42:58 [ultranest] [DEBUG] iteration=70, ncalls=1273, regioncalls=2920, ndraw=40, logz=-13466.07, remainder_fraction=100.0000%, Lmin=-13101.48, Lmax=-190.50
14:42:58 [ultranest] [DEBUG] iteration=75, ncalls=1279, regioncalls=3160, ndraw=40, logz=-12651.91, remainder_fraction=100.0000%, Lmin=-12564.45, Lmax=-190.50
14:42:58 [ultranest] [DEBUG] iteration=80, ncalls=1285, regioncalls=3400, ndraw=40, logz=-12140.78, remainder_fraction=100.0000%, Lmin=-12092.93, Lmax=-190.50
14:42:58 [ultranest] [DEBUG] iteration=85, ncalls=1291, regioncalls=3640, ndraw=40, logz=-11780.38, remainder_fraction=100.0000%, Lmin=-11736.11, Lmax=-190.50
14:42:58 [ultranest] [DEBUG] iteration=91, ncalls=1297, regioncalls=3880, ndraw=40, logz=-10943.47, remainder_fraction=100.0000%, Lmin=-10834.42, Lmax=-190.50
14:42:58 [ultranest] [DEBUG] iteration=97, ncalls=1303, regioncalls=4120, ndraw=40, logz=-10074.60, remainder_fraction=100.0000%, Lmin=-10007.75, Lmax=-190.50
14:42:58 [ultranest] [DEBUG] iteration=103, ncalls=1309, regioncalls=4360, ndraw=40, logz=-9853.44, remainder_fraction=100.0000%, Lmin=-9703.89, Lmax=-190.50
14:42:59 [ultranest] [DEBUG] iteration=109, ncalls=1315, regioncalls=4600, ndraw=40, logz=-9150.30, remainder_fraction=100.0000%, Lmin=-9059.84, Lmax=-190.50
14:42:59 [ultranest] [DEBUG] iteration=115, ncalls=1322, regioncalls=4880, ndraw=40, logz=-8706.48, remainder_fraction=100.0000%, Lmin=-8655.49, Lmax=-190.50
14:42:59 [ultranest] [DEBUG] iteration=120, ncalls=1327, regioncalls=5080, ndraw=40, logz=-8359.30, remainder_fraction=100.0000%, Lmin=-8307.43, Lmax=-190.50
14:42:59 [ultranest] [DEBUG] iteration=125, ncalls=1333, regioncalls=5320, ndraw=40, logz=-7929.21, remainder_fraction=100.0000%, Lmin=-7835.89, Lmax=-190.50
14:42:59 [ultranest] [DEBUG] iteration=130, ncalls=1339, regioncalls=5560, ndraw=40, logz=-7621.62, remainder_fraction=100.0000%, Lmin=-7445.41, Lmax=-190.50
14:42:59 [ultranest] [DEBUG] iteration=136, ncalls=1346, regioncalls=5840, ndraw=40, logz=-7259.06, remainder_fraction=100.0000%, Lmin=-7059.69, Lmax=-190.50
14:42:59 [ultranest] [DEBUG] iteration=142, ncalls=1352, regioncalls=6080, ndraw=40, logz=-6807.51, remainder_fraction=100.0000%, Lmin=-6800.28, Lmax=-190.50
14:42:59 [ultranest] [DEBUG] iteration=148, ncalls=1358, regioncalls=6320, ndraw=40, logz=-6501.68, remainder_fraction=100.0000%, Lmin=-6465.41, Lmax=-190.50
14:42:59 [ultranest] [DEBUG] iteration=154, ncalls=1364, regioncalls=6560, ndraw=40, logz=-6245.83, remainder_fraction=100.0000%, Lmin=-6233.18, Lmax=-190.50
14:42:59 [ultranest] [DEBUG] iteration=159, ncalls=1370, regioncalls=6800, ndraw=40, logz=-6096.83, remainder_fraction=100.0000%, Lmin=-6063.36, Lmax=-190.50
14:43:00 [ultranest] [DEBUG] iteration=165, ncalls=1376, regioncalls=7040, ndraw=40, logz=-5740.48, remainder_fraction=100.0000%, Lmin=-5727.98, Lmax=-190.50
14:43:00 [ultranest] [DEBUG] iteration=170, ncalls=1382, regioncalls=7280, ndraw=40, logz=-5685.18, remainder_fraction=100.0000%, Lmin=-5617.69, Lmax=-190.50
14:43:00 [ultranest] [DEBUG] iteration=176, ncalls=1388, regioncalls=7520, ndraw=40, logz=-5418.76, remainder_fraction=100.0000%, Lmin=-5406.91, Lmax=-190.50
14:43:00 [ultranest] [DEBUG] iteration=182, ncalls=1394, regioncalls=7760, ndraw=40, logz=-5128.72, remainder_fraction=100.0000%, Lmin=-4891.66, Lmax=-190.50
