Om Ob h ns s8 Mnu w scale_factor
1.617757871026142269e-01 5.808162570427913285e-02 6.615291802108604902e-01 9.169801626374547432e-01 7.007394658998499226e-01 8.044250709122281462e-01 -9.662331226754774516e-01 1.785496587924204093e+01
1.003636205600086928e-01 3.958420836405416449e-02 5.713216885500234099e-01 1.021639965716737430e+00 7.565382524604654657e-01 4.775050505353972685e-02 -7.736980063243086292e-01 1.753075804185721509e+01
1.373838484545646943e-01 6.757621168744171181e-02 6.661585713244830842e-01 9.452381806440438572e-01 7.122856357573239539e-01 3.372923583117037882e-02 -9.752995359634192285e-01 1.796393985796046877e+01
1.320717491979252756e-01 5.923212317037892388e-02 7.418232834794187269e-01 9.105062572936120091e-01 7.499747215959724489e-01 1.748420431467028469e-01 -1.274546537655279366e+00 1.795806971294460652e+01
1.322522935035803093e-01 5.188650544246091456e-02 6.197396871214559955e-01 9.876429185291607515e-01 7.225222226954193250e-01 3.957298646920162644e-01 -1.119000758489297809e+00 1.783981376858856294e+01
1.454592519957686736e-01 5.458735688185922807e-02 7.202234348755850446e-01 9.170792630025641490e-01 7.293988065332446258e-01 7.562749994247743857e-01 -1.284498258745205845e+00 1.794044962165354917e+01
1.090183055934092760e-01 3.188381204041920020e-02 6.964000634777649523e-01 9.756450549056037147e-01 7.654940681235975486e-01 6.905300305614772149e-01 -8.951900944116795156e-01 1.742590636079206945e+01
1.025529189327938906e-01 3.774996186274053034e-02 7.252556209785621100e-01 9.981448683751090734e-01 7.545256921346920054e-01 4.578648010592704654e-01 -8.272197690440017404e-01 1.734782246874453548e+01
1.432372183523767939e-01 6.719430688779517991e-02 5.912960916789636867e-01 9.448248713858222736e-01 7.376952230377794573e-01 1.829989832327677535e-02 -1.229041035212065758e+00 1.795476559553109652e+01
1.687473440391396573e-01 4.407743031436060777e-02 6.297842706923408862e-01 8.671979775998279738e-01 7.537562863481759301e-01 9.529129827180153889e-01 -9.693543387763050578e-01 1.770409160214711264e+01
1.456701492297460265e-01 6.327717084286485494e-02 6.947275309948652833e-01 9.076048409831145580e-01 7.300565509712086953e-01 2.941008539388694221e-01 -1.228656329263189795e+00 1.797686816267613708e+01
1.477666188035538786e-01 6.557203757336244054e-02 5.122570542535124227e-01 9.500025519148271869e-01 7.010980759949151375e-01 4.092804571948288617e-02 -7.992065854566957617e-01 1.788288242069553036e+01
1.189567268774226055e-01 4.398682552748776897e-02 6.697587536072948655e-01 9.862378697135224526e-01 7.251252752920782640e-01 5.001659629984541722e-01 -8.454950045408433645e-01 1.749747925523238479e+01
1.220205438972691708e-01 4.183714079481098969e-02 7.213794719365212993e-01 9.431506819401129782e-01 7.388410162750793653e-01 6.338405453185623761e-01 -8.938429484424331717e-01 1.759483069262042676e+01
1.296306591682654663e-01 6.139695794886525920e-02 7.047172050513610397e-01 9.747246809269477508e-01 7.086777620481450324e-01 1.970673346828302752e-01 -9.591199430250155755e-01 1.778741796524564478e+01
1.358649738010005437e-01 5.622835619156792836e-02 6.946554644104193654e-01 9.942062939041598213e-01 6.774429213648486270e-01 6.602998122518675128e-01 -7.680812092657166579e-01 1.753798855519313094e+01
1.443459240735064653e-01 5.666160188253927671e-02 5.129280204582055136e-01 9.774594286711002500e-01 7.100275310104171567e-01 1.748952991728844053e-01 -7.314001741649129862e-01 1.751290071373898272e+01
1.415932270099547197e-01 6.887365348565552270e-02 6.248692818892166434e-01 9.628360518201619644e-01 7.111700828020712795e-01 2.140303219239547694e-02 -8.587556291036841927e-01 1.776439076814782325e+01
1.240045434121378187e-01 3.676756346494676475e-02 6.744065087581236906e-01 9.406756767907012984e-01 7.581147192954070801e-01 6.404367216340399738e-01 -1.143976845142272047e+00 1.784790621672927813e+01
1.563165210397866878e-01 5.610020205994983855e-02 5.508335663199481758e-01 9.587258565982479386e-01 6.905316623089019501e-01 5.015270680698390438e-01 -8.150214486814243431e-01 1.767091039363907257e+01
1.328931595235183505e-01 4.656602415582265786e-02 7.688263726567308165e-01 8.940130396751414521e-01 7.464007892569926028e-01 7.892722701499753635e-01 -1.263285429349062516e+00 1.800316335520147248e+01
1.025876946772858456e-01 4.314182795883667737e-02 7.578263424098314882e-01 9.816031191446581428e-01 7.503636467671086496e-01 4.083168099660324790e-01 -1.215171764783002040e+00 1.789527285382961708e+01
1.701558402519472990e-01 6.543380475234897298e-02 5.814202831047818876e-01 9.317970234993928624e-01 6.812817906775717747e-01 6.214036791753874134e-01 -7.669182645772431028e-01 1.758697615606083176e+01
1.421420899791066839e-01 4.190001006549606832e-02 5.992602072577892791e-01 9.380006554861107793e-01 7.362031884291154737e-01 6.901026894155464220e-01 -1.272233186877843369e+00 1.795495836863989325e+01
1.102700738092146915e-01 4.753546065492534473e-02 6.642600735670856071e-01 9.960588350915425826e-01 7.682336334709232162e-01 1.285539061621834289e-01 -1.204786046008136324e+00 1.782656539277903462e+01
1.377059045193414766e-01 6.031462437577620600e-02 8.299571162862776630e-01 9.179418206068995501e-01 6.990943856952046565e-01 6.827421901691657080e-01 -9.026977427093869633e-01 1.777110446043074177e+01
1.007261242109075555e-01 3.747264900452582786e-02 6.647476797566980178e-01 9.855273799013057889e-01 7.700138307499714285e-01 1.689335793259508500e-01 -8.994085907452613604e-01 1.770698787743576474e+01
1.186841617388538356e-01 3.681551635169710152e-02 6.372239396731791405e-01 9.572427723879571859e-01 7.524939424583650949e-01 4.603185891966224408e-01 -9.696922566787938846e-01 1.774832150696326138e+01
1.457063803437202154e-01 5.237462556927437868e-02 5.310108469165354395e-01 9.770928301600394494e-01 7.066967690068857166e-01 3.376291491157048519e-01 -8.782410807397460495e-01 1.775689862674791186e+01
1.235914272613031911e-01 5.027816079212418104e-02 6.718685358535190222e-01 9.785643178042477963e-01 7.197271196689954964e-01 4.150057611485267750e-01 -8.903810796857858367e-01 1.749807587560092870e+01
1.457032725582191046e-01 6.404965456867750540e-02 7.059856203715190182e-01 9.504939580004141408e-01 6.951261293429484844e-01 5.383573494384632507e-01 -1.078670687034594344e+00 1.781357812304277388e+01
1.571020889614194449e-01 6.931255372211425625e-02 5.138222709287333378e-01 9.731767351646769537e-01 6.966999962431645876e-01 1.897254317028546078e-01 -9.999442267319846867e-01 1.785853762421737301e+01
1.451776388124655925e-01 5.626368614270579188e-02 6.201560756631943061e-01 9.478839558620336669e-01 7.060594852285141387e-01 4.018173602077352857e-01 -8.852392467701751810e-01 1.777629700181948635e+01
1.205081439782142577e-01 4.153653251788417405e-02 7.062353950956998805e-01 9.754050102940041711e-01 7.270967991723298329e-01 6.890837697115856919e-01 -8.058984293594837478e-01 1.744042621639622226e+01
1.502916165335687337e-01 6.062242118505845045e-02 8.588501211610909403e-01 8.870736840399378043e-01 7.064465285418695117e-01 9.163740855987052569e-01 -7.389333674064588742e-01 1.754903991983670153e+01
1.453533489791390965e-01 6.111755860290742082e-02 6.133108338254844583e-01 9.421134720996522383e-01 7.234999909358390546e-01 3.045648174277210130e-01 -1.178595042958592964e+00 1.787910285248857534e+01
1.171488225654582771e-01 4.983549812452794936e-02 7.788385694204836840e-01 9.513525419236882330e-01 7.399531050914452956e-01 4.328525084145570245e-01 -1.273657358872285927e+00 1.794112419845585293e+01
