17:03:02 [ultranest] [DEBUG] ReactiveNestedSampler: dims=8+0, resume=True, log_dir=/home/ljy/BettiCurveCosmo/Emulator/model-fof/mcmc_result/3/combined, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
17:03:03 [ultranest] [INFO] Sampling 400 live points from prior ...
17:03:38 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.01, Lepsilon=0.0010, min_ess=400
17:03:38 [ultranest] [DEBUG] max_iters=-1, max_ncalls=-1, max_num_improvement_loops=-1, min_num_live_points=400, cluster_num_live_points=40
17:03:38 [ultranest] [DEBUG] minimal_widths_sequence: [(-inf, 400.0), (inf, 400.0)]
17:03:39 [ultranest] [DEBUG] iteration=0, ncalls=401, regioncalls=40, ndraw=40, logz=-inf, remainder_fraction=100.0000%, Lmin=-46791.20, Lmax=-60.10
17:03:39 [ultranest] [DEBUG] iteration=1, ncalls=402, regioncalls=80, ndraw=40, logz=-46797.19, remainder_fraction=100.0000%, Lmin=-42284.26, Lmax=-60.10
17:03:39 [ultranest] [DEBUG] iteration=2, ncalls=403, regioncalls=120, ndraw=40, logz=-42290.26, remainder_fraction=100.0000%, Lmin=-35858.29, Lmax=-60.10
17:03:39 [ultranest] [DEBUG] iteration=3, ncalls=404, regioncalls=160, ndraw=40, logz=-35864.29, remainder_fraction=100.0000%, Lmin=-22315.44, Lmax=-60.10
17:03:39 [ultranest] [DEBUG] iteration=4, ncalls=405, regioncalls=200, ndraw=40, logz=-22321.44, remainder_fraction=100.0000%, Lmin=-19960.63, Lmax=-60.10
17:03:40 [ultranest] [DEBUG] iteration=5, ncalls=406, regioncalls=240, ndraw=40, logz=-19966.63, remainder_fraction=100.0000%, Lmin=-17757.32, Lmax=-60.10
17:03:40 [ultranest] [DEBUG] iteration=6, ncalls=407, regioncalls=280, ndraw=40, logz=-17763.33, remainder_fraction=100.0000%, Lmin=-15193.22, Lmax=-60.10
17:03:40 [ultranest] [DEBUG] iteration=7, ncalls=408, regioncalls=320, ndraw=40, logz=-15199.23, remainder_fraction=100.0000%, Lmin=-14194.40, Lmax=-60.10
17:03:40 [ultranest] [DEBUG] iteration=8, ncalls=409, regioncalls=360, ndraw=40, logz=-14200.41, remainder_fraction=100.0000%, Lmin=-12334.30, Lmax=-60.10
17:03:40 [ultranest] [DEBUG] iteration=9, ncalls=410, regioncalls=400, ndraw=40, logz=-12340.32, remainder_fraction=100.0000%, Lmin=-11704.52, Lmax=-60.10
17:03:40 [ultranest] [DEBUG] iteration=10, ncalls=411, regioncalls=440, ndraw=40, logz=-11710.54, remainder_fraction=100.0000%, Lmin=-10718.18, Lmax=-60.10
