logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 1.600000000000000000e+03 -3.564698056557751988e+04 -3.565435863696947490e+04 5.812500000000000444e-01
-3.565435863696947490e+04 nan -6.250000000000000130e-04 1.600000000000000000e+03 -2.666564793841430219e+04 -2.667302663480625415e+04 4.174999999999999822e-01
-2.667302663480625415e+04 nan -1.250000000000000026e-03 1.600000000000000000e+03 -2.210002084366842610e+04 -2.210740016506037864e+04 1.752499999999999947e+00
-2.210740016506037864e+04 nan -1.874999999999999931e-03 1.600000000000000000e+03 -2.204574958668224281e+04 -2.205312953307419593e+04 1.320000000000000062e+00
-2.205312953307419593e+04 1.272834864248642589e+03 -2.500000000000000052e-03 1.600000000000000000e+03 -2.099564428242612848e+04 -2.100302485381807855e+04 1.717500000000000027e+00
-2.100302485381807855e+04 1.567138041208147570e+03 -3.125000000000000173e-03 1.600000000000000000e+03 -1.897196370692333221e+04 -1.897934490331528286e+04 1.166250000000000009e+00
-1.897934490331528286e+04 2.060394795614294253e+03 -3.750000000000000295e-03 1.600000000000000000e+03 -1.717856949919712133e+04 -1.718595132058907257e+04 1.722499999999999920e+00
-1.718595132058907257e+04 2.720371318607250942e+03 -4.375000000000000416e-03 1.600000000000000000e+03 -1.630730924016492099e+04 -1.631469168655687281e+04 3.925000000000000155e-01
-1.631469168655687281e+04 1.272925146880577131e+03 -5.000000000000000104e-03 1.600000000000000000e+03 -1.585529476748236084e+04 -1.586267783887431324e+04 3.337499999999999911e-01
-1.586267783887431324e+04 3.834819111374690124e+02 -5.624999999999999792e-03 1.600000000000000000e+03 -1.582486735267176118e+04 -1.583225104906371234e+04 5.412500000000000089e-01
-1.583225104906371234e+04 1.300997733719565588e+02 -6.249999999999999480e-03 1.600000000000000000e+03 -1.527497195556215956e+04 -1.528235627695411131e+04 1.417499999999999982e+00
-1.528235627695411131e+04 3.195896574145689897e+02 -6.874999999999999167e-03 1.600000000000000000e+03 -1.479351755503158711e+04 -1.480090250142353943e+04 7.512499999999999734e-01
-1.480090250142353943e+04 3.847139964257440283e+02 -7.499999999999998855e-03 1.600000000000000000e+03 -1.462273875681619211e+04 -1.463012432820814320e+04 2.962500000000000133e-01
-1.463012432820814320e+04 3.173763663393131651e+02 -8.124999999999998543e-03 1.600000000000000000e+03 -1.448817193259195301e+04 -1.449555812898390468e+04 2.949999999999999845e-01
-1.449555812898390468e+04 1.148066796475568765e+02 -8.749999999999999098e-03 1.600000000000000000e+03 -1.388405035214780037e+04 -1.389143717353975262e+04 1.461249999999999938e+00
-1.389143717353975262e+04 3.133217026711287758e+02 -9.374999999999999653e-03 1.600000000000000000e+03 -1.313127792145656895e+04 -1.313866536784851996e+04 3.099999999999999978e-01
-1.313866536784851996e+04 5.280866807483006369e+02 -1.000000000000000021e-02 1.600000000000000000e+03 -1.258397306928313628e+04 -1.259136114067508788e+04 1.036249999999999893e+00
-1.259136114067508788e+04 3.906874315651587040e+02 -1.062500000000000076e-02 1.600000000000000000e+03 -1.184363299750346232e+04 -1.185102169389541450e+04 2.099999999999999922e-01
-1.185102169389541450e+04 2.766712525376649410e+02 -1.125000000000000132e-02 1.600000000000000000e+03 -1.141689266354014217e+04 -1.142428198493209493e+04 6.662500000000000089e-01
-1.142428198493209493e+04 3.376706585279222281e+02 -1.187500000000000187e-02 1.600000000000000000e+03 -1.113467054436615035e+04 -1.114206049075810188e+04 4.587499999999999911e-01
-1.114206049075810188e+04 2.097111153547353979e+02 -1.250000000000000243e-02 1.600000000000000000e+03 -1.093803397329274048e+04 -1.094542454468469259e+04 1.228750000000000009e+00
-1.094542454468469259e+04 1.445284560498387805e+02 -1.312500000000000298e-02 1.600000000000000000e+03 -1.089663796512132103e+04 -1.090402916151327372e+04 6.025000000000000355e-01
-1.090402916151327372e+04 1.807729931010491597e+01 -1.375000000000000354e-02 1.600000000000000000e+03 -1.077444155591277558e+04 -1.078183337730472704e+04 8.074999999999999956e-01
-1.078183337730472704e+04 6.847973059075427216e+01 -1.437500000000000409e-02 1.600000000000000000e+03 -1.068725808312308254e+04 -1.069465052951503458e+04 9.625000000000000222e-02
-1.069465052951503458e+04 7.263915080189124751e+01 -1.500000000000000465e-02 1.600000000000000000e+03 -1.010603625962485603e+04 -1.011342933101680865e+04 1.011249999999999982e+00
-1.011342933101680865e+04 3.282560747144116817e+02 -1.562500000000000347e-02 1.600000000000000000e+03 -9.893307475749290461e+03 -9.900701172141241841e+03 6.287500000000000311e-01
