09:42:24 [ultranest] [DEBUG] ReactiveNestedSampler: dims=8+0, resume=True, log_dir=/home/ljy/BettiCurveCosmo/Emulator/model-fof-rsdz/mcmc_result/3/combined, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
09:42:26 [ultranest] [INFO] Sampling 400 live points from prior ...
09:42:44 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.01, Lepsilon=0.0010, min_ess=400
09:42:44 [ultranest] [DEBUG] max_iters=-1, max_ncalls=-1, max_num_improvement_loops=-1, min_num_live_points=400, cluster_num_live_points=40
09:42:44 [ultranest] [DEBUG] minimal_widths_sequence: [(-inf, 400.0), (inf, 400.0)]
09:42:45 [ultranest] [DEBUG] iteration=0, ncalls=401, regioncalls=40, ndraw=40, logz=-inf, remainder_fraction=100.0000%, Lmin=-40121.58, Lmax=-27.05
09:42:45 [ultranest] [DEBUG] iteration=3, ncalls=404, regioncalls=160, ndraw=40, logz=-26532.22, remainder_fraction=100.0000%, Lmin=-21702.57, Lmax=-27.05
09:42:45 [ultranest] [DEBUG] iteration=7, ncalls=408, regioncalls=320, ndraw=40, logz=-16758.47, remainder_fraction=100.0000%, Lmin=-15148.49, Lmax=-27.05
09:42:46 [ultranest] [DEBUG] iteration=11, ncalls=412, regioncalls=480, ndraw=40, logz=-9257.95, remainder_fraction=100.0000%, Lmin=-8613.65, Lmax=-27.05
09:42:46 [ultranest] [DEBUG] iteration=14, ncalls=415, regioncalls=600, ndraw=40, logz=-7268.82, remainder_fraction=100.0000%, Lmin=-7212.33, Lmax=-27.05
09:42:46 [ultranest] [DEBUG] iteration=18, ncalls=419, regioncalls=760, ndraw=40, logz=-5959.52, remainder_fraction=100.0000%, Lmin=-5798.19, Lmax=-27.05
09:42:46 [ultranest] [DEBUG] iteration=22, ncalls=423, regioncalls=920, ndraw=40, logz=-4973.28, remainder_fraction=100.0000%, Lmin=-4921.88, Lmax=-27.05
09:42:46 [ultranest] [DEBUG] iteration=26, ncalls=427, regioncalls=1080, ndraw=40, logz=-4324.92, remainder_fraction=100.0000%, Lmin=-4112.83, Lmax=-27.05
09:42:46 [ultranest] [DEBUG] iteration=29, ncalls=430, regioncalls=1200, ndraw=40, logz=-3302.72, remainder_fraction=100.0000%, Lmin=-2937.66, Lmax=-27.05
09:42:46 [ultranest] [DEBUG] iteration=33, ncalls=434, regioncalls=1360, ndraw=40, logz=-2770.06, remainder_fraction=100.0000%, Lmin=-2401.93, Lmax=-27.05
09:42:46 [ultranest] [DEBUG] iteration=37, ncalls=438, regioncalls=1520, ndraw=40, logz=-2303.69, remainder_fraction=100.0000%, Lmin=-2178.42, Lmax=-27.05
09:42:46 [ultranest] [DEBUG] iteration=40, ncalls=441, regioncalls=1640, ndraw=40, logz=-2051.91, remainder_fraction=100.0000%, Lmin=-2042.38, Lmax=-27.05
09:42:47 [ultranest] [DEBUG] iteration=44, ncalls=445, regioncalls=1800, ndraw=40, logz=-1866.84, remainder_fraction=100.0000%, Lmin=-1840.26, Lmax=-27.05
09:42:47 [ultranest] [DEBUG] iteration=48, ncalls=450, regioncalls=2000, ndraw=40, logz=-1767.39, remainder_fraction=100.0000%, Lmin=-1733.63, Lmax=-27.05
09:42:47 [ultranest] [DEBUG] iteration=50, ncalls=456, regioncalls=2240, ndraw=40, logz=-1729.51, remainder_fraction=100.0000%, Lmin=-1666.78, Lmax=-27.05
09:42:47 [ultranest] [DEBUG] iteration=52, ncalls=458, regioncalls=2320, ndraw=40, logz=-1655.23, remainder_fraction=100.0000%, Lmin=-1648.76, Lmax=-27.05
09:42:47 [ultranest] [DEBUG] iteration=53, ncalls=461, regioncalls=2440, ndraw=40, logz=-1654.35, remainder_fraction=100.0000%, Lmin=-1631.38, Lmax=-27.05
