0.4663,0.04237,0.7193,1.1763,0.7203,0.1988425,-1.09045,14.007300075737477:12371.83601,9518.412162,11360.43423,9889.696928,8917.929751,8681.814401,7668.289533,6472.150334,5730.436648,5408.252018,4958.002259,4468.244251,4144.728607,3762.553484,3263.94716,3153.947943,2905.462467,2657.144831,2449.62402,2210.615873,2075.072753,2026.002657,1855.223952:1050.981984,-503.0240789,670.0456738,-1259.767845,538.3086433,-328.158872,247.8994793,-147.6677319,293.3012041,-70.38719451,-333.6539471,-281.0009982,157.4040056,24.56303682,188.4999763,-223.6895415,-135.6163232,-160.6793297,-152.5752377,35.51775313,-6.681117211,-39.88425281,46.9198606:909.8026113,1451.576289,3994.103136,1253.582638,942.2672968,-763.0347497,58.15511869,-446.9229544,-69.39226815,-96.19798622,222.9319405,-95.30860455,309.6202486,57.82537261,-50.02711956,233.0345817,179.3339993,-127.8258841,20.79956825,364.3366041,133.0198575,290.9609188,160.5129756:
0.1377,0.04735,0.8859,0.9057,0.6773,0.1572625,-0.92335,18.516598038902206:260864.7796,128992.9573,101126.754,82240.68211,50108.44688,38024.50196,34640.88582,31881.36409,25043.19872,20130.93185,18772.62382,16788.28238,14708.55578,12977.77785,12065.29217,10776.93235,9966.170334,9303.780574,8466.099681,7955.447051,7092.622752,6813.53556,6254.174367:13373.54279,21658.16694,2540.463381,1510.97189,3631.164134,675.536224,856.7081866,-156.1174011,-288.0901071,-773.4211107,-712.5494695,313.9367945,-279.8564205,138.3982985,16.73880712,-84.12360597,53.79104916,89.36037614,390.6837073,62.5903911,-52.39970859,-46.96953658,-66.43298728:3530.36897,7832.646866,17134.14879,-2915.445027,781.9908904,2053.070594,-5442.181251,-2155.284723,-2193.355941,-532.906545,-41.6468111,517.6715676,190.7388098,1167.864565,-632.2008716,816.2808365,635.3277936,813.7628612,284.0713892,809.2758831,527.1286359,900.7415284,604.6036192:
0.3861,0.03781,0.5015,0.9139,0.7311,0.7621525,-0.97015,16.36840944389688:73182.68184,56854.541,45104.66751,36173.16755,29313.89033,23891.26478,19584.85273,16244.29328,13956.19455,12458.159,11288.99863,9935.827085,8929.620325,7793.102765,6860.920185,6421.038992,5910.236813,5342.476543,5006.31165,4561.689773,4337.135491,3945.367618,3823.37989:14282.00689,4558.609568,2508.170954,1254.950634,3457.417156,312.3184087,628.5370984,1533.860969,697.6642039,179.6087056,774.9920339,518.2922515,304.4043686,-151.7385434,-152.5687289,-445.1433794,-158.5270845,62.83675972,-32.31554569,-93.35493095,7.671050951,4.714047452,273.2727709:-22195.17364,-14448.8807,-4638.49445,-1345.717701,651.5078338,1368.599813,213.0824723,-1767.151332,519.4304689,-212.4791253,666.3719347,688.1943663,415.9297401,287.4906987,352.116853,760.6726687,423.4792649,-168.9007131,356.4140734,354.1645303,-18.38296558,85.47480946,203.4328803:
0.3771,0.05791,0.6515,1.0647,0.7499,0.4196125,-1.04755,14.756711781917515:35752.39572,28583.62049,23675.34747,19236.16985,17622.48575,14594.87405,12884.19944,9902.223439,8695.076152,8290.759671,7181.975809,6654.968793,5845.288949,5080.483819,4684.352528,4415.623159,4110.661776,3739.787331,3326.479604,3051.440424,2889.306919,2663.152145,2499.890236:3019.138952,2180.12241,-843.7420137,564.1307943,1025.061354,1763.983805,-618.8860815,-48.77624427,-73.24289971,129.8452529,316.3982275,310.0215422,26.9495284,97.24891157,-20.8187543,248.3515553,-130.0474849,-174.9283124,-207.6111049,-59.18291913,-61.21481743,-74.69911384,-189.2758806:-7298.583199,3187.398219,2967.899941,1050.274292,911.110868,-722.0438213,-1352.260151,-134.3677171,-273.65394,366.1874314,225.6334023,-111.8300018,690.989736,217.5029322,294.2736361,47.32421148,149.5365914,355.9963744,225.7174602,131.6313055,25.83647341,302.8588757,367.8566717:
0.4237,0.05739,0.7849,0.8723,0.9237,0.7151275,-0.85045,13.777996554719508:30247.37028,28404.23351,21261.5734,17513.35805,15274.1082,13622.94482,11005.27543,9428.64564,8359.410816,7295.273796,6358.355529,5881.691386,5211.516129,4638.825252,4207.036753,3875.171396,3496.79924,3195.921966,2980.574783,2767.012179,2527.65095,2411.684684,2165.362695:-5226.475957,-341.3050785,2255.914234,576.1889837,2202.731165,-476.5941134,407.1586298,-68.87560402,-863.5648515,261.3089836,-293.9065291,137.6809404,-336.9790442,-161.1040535,-317.5146811,-169.2476843,79.207528,260.1910502,-91.48945677,-175.5965384,107.334085,-145.9921902,-21.66624898:7211.050037,-1499.280669,2497.257894,-2030.164177,305.5598401,1491.65745,-399.0465137,-307.933801,118.8178636,633.8210535,177.0181785,-374.5306597,544.0709797,141.8135102,392.2732843,277.528493,164.5077802,-286.5938052,225.397011,195.1703535,241.2981103,276.9375747,300.2955079:
0.2047,0.03403,0.6179,1.0323,0.6327,0.2315125,-0.83875,18.07009829139087:121125.4781,79548.41945,54323.04342,52972.25784,38890.87239,28751.42333,23224.6615,22129.78633,19123.87872,15790.10192,13374.19261,12131.71211,10866.50568,10033.48854,9156.130153,8086.430594,7661.983396,6957.630486,6443.653752,6159.200279,5531.233376,5104.237478,4813.541276:-21070.49824,3794.591917,11203.12374,-3147.866809,-4144.61672,-542.8106909,-1015.993858,245.9351615,2924.642038,-929.1893722,702.8757372,-277.8341775,-377.8120173,99.10426355,-3.335568416,99.89763576,-415.6499664,184.9539304,327.2254864,68.14621147,-21.76080441,148.9104325,-47.60992203:12827.61293,335.4246143,8989.578023,4823.026284,668.8188305,-440.5171305,-1262.689059,913.9041839,848.7445478,-454.4402166,1522.950953,645.536451,1042.595001,504.0241655,-56.76058361,1300.720292,544.7939951,-70.89081916,634.7028763,338.475097,424.620705,750.5432627,447.5081939:
0.1805,0.05317,0.5183,0.9831,0.6613,0.1726075,-0.85945,18.332768401587472:257821.0167,120244.723,88166.42913,69149.04264,61761.1453,44162.61221,29970.94269,25496.06296,23740.88499,21729.3795,18467.12334,15761.04212,13539.99011,12332.21809,11334.05808,10752.85831,9669.397174,8641.816789,8025.712194,7411.831236,6997.081921,6441.816063,5929.026805:122549.337,7443.65159,4385.488759,6738.983354,3737.306933,4390.357146,2646.579638,1450.98199,1475.908838,-1419.224391,-102.7180511,-91.15106088,-834.4019058,-206.0262736,-153.2879596,407.5841222,73.92775046,120.8791438,144.1799146,120.0602516,-124.9684058,-77.18112459,-39.70886753:59351.48819,33250.10714,1806.598133,4314.414176,-6241.333949,2984.14778,-3972.387083,1823.229184,-121.5806384,-1222.817259,-137.8353923,1203.802531,1660.139996,-617.0265546,216.8734598,977.1277555,384.1589971,472.9835412,395.2487011,63.02453963,639.4900175,485.1737741,320.7503376:
0.2183,0.05179,0.6753,1.0821,0.8021,0.3513025,-1.05805,14.948337299693149:85032.19471,48795.45172,34200.82638,34331.81345,29979.0631,20268.64039,15607.43646,13202.13864,12703.01099,11144.01225,9048.444568,7891.996578,7087.281985,6701.016264,5923.581,5360.892248,4672.700722,4459.850973,4213.990795,3843.951492,3554.187073,3228.741586,3127.956699:-11195.36697,1628.624426,-5663.034911,-869.9329295,-2330.14261,-1779.932252,1008.120104,-332.4022725,247.5030935,189.0480514,201.640064,608.3343656,-512.4612434,-146.9032444,-225.6046748,122.2450588,35.03224089,-139.0244882,168.8341161,31.82919858,117.4446679,-11.15505906,-107.5629848:-8544.502995,-4043.892771,-6985.567659,4520.343578,2237.771477,674.471432,-1050.987946,-274.7692552,-1189.983136,1296.999271,-343.6946123,-136.9760727,574.1032625,272.6645847,257.5749908,624.604142,312.2532375,-56.32314558,90.17571358,-34.62685626,170.2365488,144.2721654,316.5504282:
0.4775,0.04279,0.5579,0.8485,0.6527,0.0171775,-0.78415,17.771905481936674:44913.0957,43733.76583,33936.99716,29080.73759,23157.7568,19915.40501,18579.433,15261.45688,12873.31498,11484.82352,10204.06199,9558.811026,8707.138519,7501.55337,6984.795803,6323.364155,5855.91597,5481.816045,5153.319116,4700.923383,4422.991813,4176.132176,3884.970259:-4743.804968,-682.8929193,162.8747458,1247.273754,1882.191685,-404.0358705,1772.791038,1534.538659,-291.350089,380.0076536,-43.65782016,135.1371487,-181.3393496,-248.8265538,406.2880063,-412.4112547,67.2510127,49.13744342,180.5430872,106.2439383,222.0407827,91.44922691,-47.4083625:17668.48796,918.2371323,-7057.263786,-1549.564897,603.3853953,-2978.663987,-1939.732397,-1559.06947,1080.401229,1298.61833,411.6579216,262.0114204,176.0041343,-134.0834348,373.9322208,675.9076693,304.0935779,302.9975889,906.7964933,-37.06617376,186.4263468,151.5290371,280.157482:
0.4531,0.03915,0.5231,0.8327,0.6945,0.2186425,-1.24435,17.530585585541086:63600.4335,57348.40799,42288.97682,31804.53787,27068.377,23878.82582,19692.20004,16143.40441,13710.26291,12366.61569,11483.21651,9965.461631,9029.487566,8056.707376,7376.406053,6688.200879,6216.605874,5677.358033,5362.523833,4941.310849,4509.46557,4206.347976,3956.692143:-6648.496919,4721.1817,-1753.500397,283.3794258,3348.299579,-215.1205636,553.3042383,-681.4433566,212.3675817,-508.6459284,513.2350519,-502.703889,-132.2098241,325.0998707,145.0997627,40.23809924,3.673384371,-10.4523777,-17.78295327,-152.669843,-39.6147289,11.79505202,55.7164006:5568.653961,-4712.501603,3700.281641,370.8629282,3108.386122,-904.7413529,-1170.716065,-124.7682881,-145.3138939,298.1199609,71.79678366,576.3318069,312.7301826,497.2643705,298.2124442,428.4711628,402.1223977,-219.4883802,304.7791661,502.4071846,-7.362476861,436.4811565,201.3160548:
