10:25:37 [ultranest] [DEBUG] ReactiveNestedSampler: dims=8+0, resume=True, log_dir=/home/ljy/BettiCurveCosmo/Emulator/model-fof-rsdz/mcmc_result/nwLH-Recovery/8/combined, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
10:25:38 [ultranest] [INFO] Sampling 1600 live points from prior ...
10:25:54 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.10, Lepsilon=0.0010, min_ess=400
10:25:54 [ultranest] [DEBUG] max_iters=-1, max_ncalls=-1, max_num_improvement_loops=-1, min_num_live_points=1600, cluster_num_live_points=40
10:25:54 [ultranest] [DEBUG] minimal_widths_sequence: [(-inf, 1600.0), (inf, 1600.0)]
10:25:55 [ultranest] [DEBUG] iteration=0, ncalls=1601, regioncalls=40, ndraw=40, logz=-inf, remainder_fraction=100.0000%, Lmin=-61794.56, Lmax=-236.81
10:25:55 [ultranest] [DEBUG] iteration=7, ncalls=1608, regioncalls=320, ndraw=40, logz=-25343.63, remainder_fraction=100.0000%, Lmin=-23477.46, Lmax=-112.51
10:25:55 [ultranest] [DEBUG] iteration=14, ncalls=1615, regioncalls=600, ndraw=40, logz=-18388.61, remainder_fraction=100.0000%, Lmin=-18341.51, Lmax=-112.51
10:25:55 [ultranest] [DEBUG] iteration=21, ncalls=1622, regioncalls=880, ndraw=40, logz=-15187.86, remainder_fraction=100.0000%, Lmin=-15006.95, Lmax=-112.51
10:25:55 [ultranest] [DEBUG] iteration=28, ncalls=1629, regioncalls=1160, ndraw=40, logz=-12267.24, remainder_fraction=100.0000%, Lmin=-11989.20, Lmax=-112.51
10:25:55 [ultranest] [DEBUG] iteration=35, ncalls=1636, regioncalls=1440, ndraw=40, logz=-10644.67, remainder_fraction=100.0000%, Lmin=-10581.31, Lmax=-112.51
10:25:55 [ultranest] [DEBUG] iteration=42, ncalls=1643, regioncalls=1720, ndraw=40, logz=-9795.95, remainder_fraction=100.0000%, Lmin=-9480.13, Lmax=-112.51
10:25:56 [ultranest] [DEBUG] iteration=49, ncalls=1650, regioncalls=2000, ndraw=40, logz=-8133.81, remainder_fraction=100.0000%, Lmin=-8073.68, Lmax=-112.51
10:25:56 [ultranest] [DEBUG] iteration=56, ncalls=1657, regioncalls=2280, ndraw=40, logz=-7669.21, remainder_fraction=100.0000%, Lmin=-7321.95, Lmax=-112.51
10:25:56 [ultranest] [DEBUG] iteration=63, ncalls=1664, regioncalls=2560, ndraw=40, logz=-6489.91, remainder_fraction=100.0000%, Lmin=-6420.81, Lmax=-112.51
10:25:56 [ultranest] [DEBUG] iteration=70, ncalls=1672, regioncalls=2880, ndraw=40, logz=-5679.86, remainder_fraction=100.0000%, Lmin=-5580.80, Lmax=-112.51
