13:04:02 [ultranest] [DEBUG] ReactiveNestedSampler: dims=8+0, resume=True, log_dir=/home/ljy/BettiCurveCosmo/Emulator/model-fof/mcmc_result/nwLH-Recovery/90/combined, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
13:04:04 [ultranest] [INFO] Sampling 1600 live points from prior ...
13:04:32 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.10, Lepsilon=0.0010, min_ess=400
13:04:32 [ultranest] [DEBUG] max_iters=-1, max_ncalls=-1, max_num_improvement_loops=-1, min_num_live_points=1600, cluster_num_live_points=40
13:04:32 [ultranest] [DEBUG] minimal_widths_sequence: [(-inf, 1600.0), (inf, 1600.0)]
13:04:33 [ultranest] [DEBUG] iteration=0, ncalls=1601, regioncalls=40, ndraw=40, logz=-inf, remainder_fraction=100.0000%, Lmin=-51264.91, Lmax=-36.85
13:04:33 [ultranest] [DEBUG] iteration=6, ncalls=1607, regioncalls=280, ndraw=40, logz=-42127.84, remainder_fraction=100.0000%, Lmin=-40579.78, Lmax=-36.85
13:04:33 [ultranest] [DEBUG] iteration=12, ncalls=1613, regioncalls=520, ndraw=40, logz=-34307.99, remainder_fraction=100.0000%, Lmin=-34213.39, Lmax=-36.85
13:04:33 [ultranest] [DEBUG] iteration=18, ncalls=1619, regioncalls=760, ndraw=40, logz=-32697.85, remainder_fraction=100.0000%, Lmin=-32526.94, Lmax=-36.85
13:04:33 [ultranest] [DEBUG] iteration=24, ncalls=1625, regioncalls=1000, ndraw=40, logz=-31122.35, remainder_fraction=100.0000%, Lmin=-30917.72, Lmax=-36.85
13:04:33 [ultranest] [DEBUG] iteration=30, ncalls=1631, regioncalls=1240, ndraw=40, logz=-29200.20, remainder_fraction=100.0000%, Lmin=-29015.34, Lmax=-36.85
13:04:33 [ultranest] [DEBUG] iteration=36, ncalls=1637, regioncalls=1480, ndraw=40, logz=-28225.76, remainder_fraction=100.0000%, Lmin=-27709.59, Lmax=-36.85
13:04:33 [ultranest] [DEBUG] iteration=42, ncalls=1643, regioncalls=1720, ndraw=40, logz=-26187.31, remainder_fraction=100.0000%, Lmin=-26119.79, Lmax=-36.85
13:04:33 [ultranest] [DEBUG] iteration=48, ncalls=1649, regioncalls=1960, ndraw=40, logz=-24331.75, remainder_fraction=100.0000%, Lmin=-24186.22, Lmax=-36.85
13:04:34 [ultranest] [DEBUG] iteration=54, ncalls=1655, regioncalls=2200, ndraw=40, logz=-22418.22, remainder_fraction=100.0000%, Lmin=-22207.31, Lmax=-36.85
13:04:34 [ultranest] [DEBUG] iteration=59, ncalls=1661, regioncalls=2440, ndraw=40, logz=-22145.71, remainder_fraction=100.0000%, Lmin=-22135.91, Lmax=-36.85
13:04:34 [ultranest] [DEBUG] iteration=65, ncalls=1667, regioncalls=2680, ndraw=40, logz=-21197.80, remainder_fraction=100.0000%, Lmin=-21162.54, Lmax=-36.85
13:04:34 [ultranest] [DEBUG] iteration=70, ncalls=1673, regioncalls=2920, ndraw=40, logz=-20696.87, remainder_fraction=100.0000%, Lmin=-20560.43, Lmax=-36.85
13:04:34 [ultranest] [DEBUG] iteration=76, ncalls=1679, regioncalls=3160, ndraw=40, logz=-20071.21, remainder_fraction=100.0000%, Lmin=-19942.02, Lmax=-36.85
13:04:34 [ultranest] [DEBUG] iteration=82, ncalls=1685, regioncalls=3400, ndraw=40, logz=-19200.20, remainder_fraction=100.0000%, Lmin=-19020.13, Lmax=-36.85
13:04:34 [ultranest] [DEBUG] iteration=88, ncalls=1691, regioncalls=3640, ndraw=40, logz=-18521.38, remainder_fraction=100.0000%, Lmin=-18469.69, Lmax=-36.85
13:04:34 [ultranest] [DEBUG] iteration=94, ncalls=1697, regioncalls=3880, ndraw=40, logz=-17860.74, remainder_fraction=100.0000%, Lmin=-17698.56, Lmax=-36.85
13:04:34 [ultranest] [DEBUG] iteration=100, ncalls=1703, regioncalls=4120, ndraw=40, logz=-17582.73, remainder_fraction=100.0000%, Lmin=-17383.53, Lmax=-36.85
13:04:34 [ultranest] [DEBUG] iteration=106, ncalls=1709, regioncalls=4360, ndraw=40, logz=-16845.40, remainder_fraction=100.0000%, Lmin=-16815.66, Lmax=-36.85
13:04:35 [ultranest] [DEBUG] iteration=111, ncalls=1715, regioncalls=4600, ndraw=40, logz=-16035.25, remainder_fraction=100.0000%, Lmin=-15970.80, Lmax=-36.85
13:04:35 [ultranest] [DEBUG] iteration=117, ncalls=1721, regioncalls=4840, ndraw=40, logz=-15258.45, remainder_fraction=100.0000%, Lmin=-15196.02, Lmax=-36.85
13:04:35 [ultranest] [DEBUG] iteration=123, ncalls=1727, regioncalls=5080, ndraw=40, logz=-14611.91, remainder_fraction=100.0000%, Lmin=-14593.68, Lmax=-36.85
